"","top_hit","gene_id","length","eValue","bitscore","simMean","UniProtKB_entry","status","protein_names","gene_names","organism","GO_IDs","GO_terms"
"1","RMX60962.1","Pver_g1.t2",260,7e-154,554.3,99.23,"A0A3M6V4U0_POCDA","unreviewed","Uncharacterized protein","pdam_00017403","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","C:GO:0016021;GO:0016021","C:integral component of membrane;integral component of membrane [GO:0016021]"
"2","XP_027059480.1","Pver_g2.t1",257,8.8e-155,557,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"3","XP_027059480.1","Pver_g3.t1",251,3.9e-147,531.6,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"4","XP_027059480.1","Pver_g4.t1",228,2.6e-135,492.3,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"5","XP_027059492.1","Pver_g5.t1",342,3.4e-204,722.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"6","RMX60959.1","Pver_g6.t1",200,3e-113,418.7,92,"A0A3M6V513_POCDA","unreviewed","Uncharacterized protein","pdam_00017406","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005509;GO:0005509","F:calcium ion binding;calcium ion binding [GO:0005509]"
"7","RMX60959.1","Pver_g7.t1",426,4.1e-248,868.6,93.9,"A0A3M6V513_POCDA","unreviewed","Uncharacterized protein","pdam_00017406","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005509;GO:0005509","F:calcium ion binding;calcium ion binding [GO:0005509]"
"8","RMX60959.1","Pver_g8.t1",836,0,1504.2,88.88,"A0A3M6V513_POCDA","unreviewed","Uncharacterized protein","pdam_00017406","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","F:GO:0005509;GO:0005509","F:calcium ion binding;calcium ion binding [GO:0005509]"
"9","XP_027059494.1","Pver_g9.t1",504,1.2e-280,976.1,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"10","RMX60965.1","Pver_g10.t1",1182,0,2132.1,99.15,"A0A3M6V4Z7_POCDA","unreviewed","Uncharacterized protein","pdam_00017409","Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)","P:GO:0007165; P:GO:0043087; F:GO:0005096;GO:0005096; GO:0007165; GO:0043547","P:signal transduction; P:regulation of GTPase activity; F:GTPase activator activity;GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]"
"11","XP_027059490.1","Pver_g11.t1.1.5de5c949",137,8.8e-69,270.4,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"12","XP_027059491.1","Pver_g12.t1",448,6.3e-241,844,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
"13","RMX60955.1","Pver_g13.t1",1244,0,2150.2,NA,NA,NA,NA,NA,NA,"NA;NA","NA;NA"
