	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED]	TRINITY_DN11044_c0_g1_i1	XP_027054414.1	2548	1	1.2E-219	100.0								
true	[BLASTED]	TRINITY_DN11045_c0_g1_i2	XP_027053617.1	4942	1	0.0	97.94								
true	[BLASTED]	TRINITY_DN11046_c0_g1_i1	XP_027051084.1	1828	1	4.9E-257	99.77								
true	[BLASTED]	TRINITY_DN11047_c0_g1_i5	XP_027045896.1	1430	1	1.1E-83	100.0								
true	[BLASTED]	TRINITY_DN11047_c0_g2_i1	XP_027045896.1	558	1	6.2E-17	100.0								
true	[BLASTED]	TRINITY_DN11047_c0_g3_i3	XP_027045896.1	2188	1	0.0	99.84								
true	[BLASTED]	TRINITY_DN11048_c0_g1_i1	XP_027040201.1	2757	1	0.0	99.36								
true	[BLASTED]	TRINITY_DN11048_c0_g2_i1	XP_022780331.1	742	1	4.3E-26	84.42								
true	[BLASTED, MAPPED, ANNOTATED]	TRINITY_DN11049_c0_g1_i1	RMX61193.1	5425	1	0.0	93.64	1	F:GO:0005524	F:ATP binding					
true	[BLASTED]	TRINITY_DN11050_c0_g1_i2	XP_027054388.1	1842	1	4.9E-289	98.98								
true	[BLASTED]	TRINITY_DN11051_c0_g1_i1	PFX19422.1	570	1	6.9E-24	70.0								
true	[BLASTED]	TRINITY_DN11052_c0_g1_i2	XP_022809048.1	6875	1	0.0	86.0								
true	[BLASTED]	TRINITY_DN11053_c0_g1_i1	XP_027038096.1	2383	1	2.2E-241	92.19								
true	[BLASTED]	TRINITY_DN11056_c0_g1_i2	XP_027042564.1	2578	1	3.9E-300	97.89								
true	[BLASTED]	TRINITY_DN11058_c0_g1_i8	XP_020617755.1	1678	1	2.0E-140	54.91								
true	[BLASTED]	TRINITY_DN11059_c0_g1_i1	CAE7471834.1	5535	1	0.0	99.89								
true	[BLASTED, MAPPED]	TRINITY_DN11060_c0_g1_i1	RMX39066.1	944	1	1.8E-133	76.87	2	F:GO:0005201; F:GO:0005509	F:extracellular matrix structural constituent; F:calcium ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	TRINITY_DN11060_c0_g2_i1	RMX39066.1	356	1	6.8E-46	80.34	2	F:GO:0005201; F:GO:0005509	F:extracellular matrix structural constituent; F:calcium ion binding					
true	[BLASTED]	TRINITY_DN11061_c0_g1_i1	XP_027059423.1	3847	1	0.0	98.64								
true	[BLASTED]	TRINITY_DN11062_c0_g1_i3	XP_027056117.1	2420	1	1.9E-184	99.68								
true	[BLASTED]	TRINITY_DN11063_c0_g1_i1	XP_027045670.1	4364	1	0.0	97.63								
true	[BLASTED]	TRINITY_DN11066_c0_g1_i1	CAE7943476.1	928	1	1.2E-158	98.21								
true	[BLASTED]	TRINITY_DN11067_c0_g1_i1	XP_027057434.1	857	1	7.3E-94	100.0								
true	[BLASTED]	TRINITY_DN11068_c0_g1_i1	XP_027041794.1	1379	1	2.8E-135	98.11								
true	[BLASTED]	TRINITY_DN11069_c0_g1_i1	OLQ08281.1	623	1	1.0E-65	100.0								
true	[BLASTED]	TRINITY_DN11070_c0_g1_i1	XP_027044674.1	645	1	1.3E-90	98.15								
true	[BLASTED]	TRINITY_DN11072_c0_g1_i12	XP_027055721.1	7453	1	0.0	96.01								
true	[BLASTED, MAPPED]	TRINITY_DN11072_c1_g1_i1	RMX43127.1	1748	1	1.7E-9	61.11	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
true	[BLASTED]	TRINITY_DN11073_c1_g1_i7	CAE7269750.1	941	1	1.3E-88	64.74								
true	[BLASTED]	TRINITY_DN11073_c1_g2_i1	CAE7190373.1	550	1	1.3E-40	88.78								
true	[BLASTED]	TRINITY_DN11076_c0_g1_i1	XP_022781621.1	935	1	1.0E-112	74.64								
true	[BLASTED, MAPPED, ANNOTATED]	TRINITY_DN11076_c0_g2_i1	RMX56962.1	554	1	3.0E-88	90.76	4	P:GO:0002224; F:GO:0003953; F:GO:0004888; C:GO:0016021	P:toll-like receptor signaling pathway; F:NAD+ nucleosidase activity; F:transmembrane signaling receptor activity; C:integral component of membrane	EC:3.2.2	Glycosylases			
true	[BLASTED, MAPPED, ANNOTATED]	TRINITY_DN11078_c0_g1_i1	OLQ07766.1	1241	1	1.8E-80	92.86	3	P:GO:0006468; F:GO:0004674; F:GO:0005524	P:protein phosphorylation; F:protein serine/threonine kinase activity; F:ATP binding	EC:2.7.1	Transferring phosphorus-containing groups			
true	[BLASTED, MAPPED, ANNOTATED]	TRINITY_DN11080_c0_g1_i2	RMX58203.1	762	1	2.3E-83	98.14	1	C:GO:0005576	C:extracellular region					
true	[BLASTED]	TRINITY_DN11081_c0_g1_i3	XP_027042133.1	5281	1	0.0	87.33								
true	[BLASTED]	TRINITY_DN11083_c0_g1_i5	XP_027056307.1	660	1	3.2E-73	88.82								
true	[BLASTED]	TRINITY_DN11084_c0_g1_i7	RMX55754.1	1548	1	7.8E-86	44.88								
true	[BLASTED]	TRINITY_DN11084_c1_g1_i1	XP_027050335.1	521	1	7.6E-70	92.91								
true	[BLASTED]	TRINITY_DN11085_c0_g1_i1	XP_027058388.1	2023	1	0.0	97.96								
true	[BLASTED]	TRINITY_DN11087_c0_g1_i19	XP_027046827.1	2191	1	1.1E-117	98.64								
true	[BLASTED, MAPPED, ANNOTATED]	TRINITY_DN11088_c0_g1_i1	PFX20299.1	534	1	5.8E-73	73.81	3	P:GO:0007165; F:GO:0004888; C:GO:0016020	P:signal transduction; F:transmembrane signaling receptor activity; C:membrane					
true	[BLASTED]	TRINITY_DN11089_c0_g1_i2	CAE7705325.1	1922	1	4.5E-293	98.67								
true	[BLASTED]	TRINITY_DN11090_c0_g1_i1	XP_027048089.1	2465	1	1.8E-129	99.59								
true	[BLASTED]	TRINITY_DN11091_c0_g1_i2	RMX48188.1	3137	1	0.0	98.77								
true	[BLASTED]	TRINITY_DN11092_c0_g1_i2	XP_027037219.1	885	1	8.8E-151	89.12								
true	[BLASTED]	TRINITY_DN11094_c0_g1_i1	XP_027056778.1	1736	1	3.4E-300	96.37								
true	[BLASTED]	TRINITY_DN11095_c0_g1_i1	XP_027051177.1	1142	1	2.0E-86	95.91								
true	[BLASTED]	TRINITY_DN11096_c0_g1_i1	XP_022794602.1	1577	1	8.4E-104	84.17								
true	[BLASTED]	TRINITY_DN11096_c0_g2_i1	XP_027039775.1	3455	1	0.0	95.09								
true	[BLASTED, MAPPED, ANNOTATED]	TRINITY_DN11097_c0_g1_i1	RMX59540.1	4442	1	0.0	76.18	2	P:GO:0006996; C:GO:0110165	P:organelle organization; C:cellular anatomical entity					
true	[BLASTED]	TRINITY_DN11099_c0_g1_i1	XP_027049757.1	2371	1	1.0E-129	100.0								
true	[BLASTED]	TRINITY_DN11100_c0_g1_i2	XP_027039880.1	2000	1	9.3E-124	63.02								
true	[BLASTED]	TRINITY_DN11101_c1_g2_i1	XP_015761131.1	1535	1	1.9E-137	87.86								
true	[BLASTED]	TRINITY_DN11102_c0_g1_i3	XP_027035725.1	5297	1	0.0	98.5								
true	[BLASTED]	TRINITY_DN11103_c0_g1_i3	XP_022798487.1	3421	1	1.2E-285	61.46								
true	[BLASTED]	TRINITY_DN11104_c0_g1_i1	XP_027039063.1	1946	1	8.0E-72	99.45								
true	[BLASTED]	TRINITY_DN11105_c0_g1_i1	XP_027059575.1	1806	1	2.5E-237	98.05								
true	[BLASTED]	TRINITY_DN11106_c0_g1_i1	XP_027048525.1	2227	1	0.0	97.05								
true	[BLASTED]	TRINITY_DN11107_c0_g1_i2	XP_022804218.1	2876	1	1.3E-195	87.44								
