,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g1.t2,RMX60962.1,317,1,7.00E-154,99.23,1,C:GO:0016021,C:integral component of membrane,,,,,
TRUE,[BLASTED],Pver_g2.t1,XP_027059480.1,259,1,8.80E-155,99.61,,,,,,,,
TRUE,[BLASTED],Pver_g3.t1,XP_027059480.1,253,1,3.90E-147,99.2,,,,,,,,
TRUE,[BLASTED],Pver_g4.t1,XP_027059480.1,250,1,2.60E-135,98.68,,,,,,,,
TRUE,[BLASTED],Pver_g5.t1,XP_027059492.1,557,1,3.40E-204,97.95,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g6.t1,RMX60959.1,205,1,3.00E-113,92,1,F:GO:0005509,F:calcium ion binding,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g7.t1,RMX60959.1,786,1,4.10E-248,93.9,1,F:GO:0005509,F:calcium ion binding,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g8.t1,RMX60959.1,1137,1,0,88.88,1,F:GO:0005509,F:calcium ion binding,,,,,
TRUE,[BLASTED],Pver_g9.t1,XP_027059494.1,505,1,1.20E-280,97.82,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g10.t1,RMX60965.1,1183,1,0,99.15,3,P:GO:0007165; P:GO:0043087; F:GO:0005096,P:signal transduction; P:regulation of GTPase activity; F:GTPase activator activity,,,,,
TRUE,[BLASTED],Pver_g11.t1.1.5de5c949,XP_027059490.1,138,1,8.80E-69,100,,,,,,,,
TRUE,[BLASTED],Pver_g12.t1,XP_027059491.1,449,1,6.30E-241,96.88,,,,,,,,
TRUE,[BLASTED],Pver_g13.t1,RMX60955.1,1224,1,0,93.57,,,,,,,,
TRUE,[BLASTED],Pver_g14.t1,XP_027046544.1,99,1,4.70E-40,100,,,,,,,,
TRUE,[BLASTED],Pver_g15.t1,XP_027046531.1,362,1,5.60E-131,99.72,,,,,,,,
TRUE,[BLASTED],Pver_g16.t1,XP_027046529.1,415,1,1.40E-226,98.31,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g17.t1,RMX59542.1,662,1,0,98.04,2,P:GO:0016539; C:GO:0016021,P:intein-mediated protein splicing; C:integral component of membrane,,,,,
TRUE,[BLASTED],Pver_g18.t1,XP_027046520.1,627,1,0,94.41,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g19.t1,RMX59541.1,792,1,0,99.24,1,C:GO:0005929,C:cilium,,,,,
TRUE,[BLASTED],Pver_g20.t2,XP_027046540.1,835,1,1.50E-163,98.3,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g21.t1,RMX59577.1,800,1,0,97.94,5,F:GO:0005506; F:GO:0005509; F:GO:0016705; F:GO:0031418; F:GO:0051213,"F:iron ion binding; F:calcium ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:L-ascorbic acid binding; F:dioxygenase activity",EC:1.14,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)",,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g22.t1,RMX59579.1,459,1,8.30E-265,95.53,1,F:GO:0016671,"F:oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor",EC:1.8.4,Acting on a sulfur group of donors,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g23.t1,RMX59580.1,711,1,0,80.55,4,F:GO:0005506; F:GO:0016705; F:GO:0031418; F:GO:0051213,"F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:L-ascorbic acid binding; F:dioxygenase activity",EC:1.14,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)",,,
TRUE,[BLASTED],Pver_g24.t1,XP_027046524.1,435,1,6.90E-261,99.31,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g25.t1,RMX59582.1,834,1,0,70.14,2,F:GO:0016491; F:GO:0046872,F:oxidoreductase activity; F:metal ion binding,EC:1,Oxidoreductases,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g26.t1,RMX59583.1,302,1,3.50E-163,83.24,5,F:GO:0005506; F:GO:0005509; F:GO:0016705; F:GO:0031418; F:GO:0051213,"F:iron ion binding; F:calcium ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:L-ascorbic acid binding; F:dioxygenase activity",EC:1.14,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)",,,
TRUE,[BLASTED],Pver_g27.t1,XP_027046491.1,446,1,4.30E-266,99.78,,,,,,,,
TRUE,[BLASTED],Pver_g28.t1,XP_027046546.1,489,1,2.10E-189,96.93,,,,,,,,
TRUE,[BLASTED],Pver_g29.t1,XP_027046548.1,656,1,0,95.88,,,,,,,,
TRUE,[BLASTED],Pver_g30.t1,XP_027046568.1,710,1,0,97.74,,,,,,,,
TRUE,[BLASTED],Pver_g31.t1,XP_027046569.1,574,1,0,98.6,,,,,,,,
TRUE,[BLASTED],Pver_g32.t1,XP_027046558.1,688,1,0,96.36,,,,,,,,
TRUE,"[BLASTED, MAPPED, ANNOTATED]",Pver_g33.t1,PFX31427.1,555,1,1.60E-254,81.05,1,C:GO:0016021,C:integral component of membrane,,,,,
