"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","genes"
"1","anatomical structure development","GO:0048856","GO:0002168",0.0224222290012994,0.999831579130691,1,3,"instar larval development","BP","Pver_g5292, Pver_g8420, Pver_g9943"
"2","anatomical structure development","GO:0048856","GO:0007498",0.0177468582060521,0.998902536010984,2,26,"mesoderm development","BP","Pver_g1551, Pver_g1777, Pver_g2832, Pver_g3040, Pver_g3121, Pver_g3122, Pver_g3591, Pver_g4022, Pver_g5416, Pver_g5445, Pver_g6713, Pver_g7980, Pver_g8321, Pver_g10667, Pver_g10679, Pver_g14203, Pver_g14903, Pver_g15871, Pver_g16915, Pver_g18316, Pver_g18523, Pver_g21374, Pver_g21567, Pver_g21700, Pver_g22958, Pver_g26288"
"3","anatomical structure development","GO:0048856","GO:0016203",0.0165276906925529,0.999931487773036,1,2,"muscle attachment","BP","Pver_g5701, Pver_g8420"
"4","anatomical structure development","GO:0048856","GO:0021549",0.0402569898219759,0.996062273088175,2,40,"cerebellum development","BP","Pver_g19, Pver_g1179, Pver_g1382, Pver_g2003, Pver_g2004, Pver_g2010, Pver_g2479, Pver_g2862, Pver_g4021, Pver_g5343, Pver_g6057, Pver_g6262, Pver_g6266, Pver_g6316, Pver_g6667, Pver_g7879, Pver_g9253, Pver_g10251, Pver_g11680, Pver_g12335, Pver_g12961, Pver_g13135, Pver_g14169, Pver_g15747, Pver_g15875, Pver_g16152, Pver_g16835, Pver_g17703, Pver_g18649, Pver_g18724, Pver_g19436, Pver_g19503, Pver_g20468, Pver_g23265, Pver_g23457, Pver_g25622, Pver_g25700, Pver_g26079, Pver_g26455, Pver_novel_45_5de57afd"
"5","anatomical structure development","GO:0048856","GO:0021681",0.0274212429890687,0.999747535534064,1,3,"cerebellar granular layer development","BP","Pver_g7879, Pver_g15747, Pver_g25700"
"6","anatomical structure development","GO:0048856","GO:0021688",0.00923177468686543,1,1,1,"cerebellar molecular layer formation","BP","Pver_g15186"
"7","anatomical structure development","GO:0048856","GO:0021693",0.0247716798576094,0.999794215349242,1,3,"cerebellar Purkinje cell layer structural organization","BP","Pver_g1462, Pver_g13350, Pver_g15186"
"8","anatomical structure development","GO:0048856","GO:0030239",0.0261936895774637,0.999741174253635,1,4,"myofibril assembly","BP","Pver_g9534, Pver_g15831_g15832, Pver_g25520, Pver_g25663"
"9","anatomical structure development","GO:0048856","GO:0030857",0.0431542571457695,0.9992146775866,1,6,"negative regulation of epithelial cell differentiation","BP","Pver_g1763, Pver_g6015, Pver_g15186, Pver_g15527, Pver_g18962, Pver_g18963"
"10","anatomical structure development","GO:0048856","GO:0035001",0.00923177468686543,1,1,1,"dorsal trunk growth, open tracheal system","BP","Pver_g18523"
"11","anatomical structure development","GO:0048856","GO:0035193",0.00845503768305859,1,1,1,"larval central nervous system remodeling","BP","Pver_g12634"
"12","anatomical structure development","GO:0048856","GO:0045476",0.00845503768305859,1,1,1,"nurse cell apoptotic process","BP","Pver_g12634"
"13","anatomical structure development","GO:0048856","GO:0045477",0.00845503768305859,1,1,1,"regulation of nurse cell apoptotic process","BP","Pver_g12634"
"14","anatomical structure development","GO:0048856","GO:0045605",0.00923177468686543,1,1,1,"negative regulation of epidermal cell differentiation","BP","Pver_g15186"
"15","anatomical structure development","GO:0048856","GO:0045654",0.0171043120385037,0.999926602306556,1,2,"positive regulation of megakaryocyte differentiation","BP","Pver_g15449, Pver_g15639"
"16","anatomical structure development","GO:0048856","GO:0045886",0.00332888912582704,0.999919921335051,2,12,"negative regulation of synaptic growth at neuromuscular junction","BP","Pver_g1210, Pver_g5236, Pver_g5871, Pver_g11647, Pver_g14017, Pver_g14655, Pver_g15216, Pver_g15885, Pver_g17434, Pver_g18523, Pver_g19813, Pver_novel_428_5de57afd"
"17","anatomical structure development","GO:0048856","GO:0048630",0.00923177468686543,1,1,1,"skeletal muscle tissue growth","BP","Pver_g15186"
"18","anatomical structure development","GO:0048856","GO:0048631",0.00923177468686543,1,1,1,"regulation of skeletal muscle tissue growth","BP","Pver_g15186"
"19","anatomical structure development","GO:0048856","GO:0048646",0.0229673502637903,0.999823246653009,1,3,"anatomical structure formation involved in morphogenesis","BP","Pver_g3838, Pver_g6352, Pver_g9469"
"20","anatomical structure development","GO:0048856","GO:0050767",0.0337603061243948,0.996997694195999,2,40,"regulation of neurogenesis","BP","Pver_g264, Pver_g461, Pver_g2439, Pver_g2481, Pver_g2482, Pver_g2483, Pver_g2484, Pver_g2485, Pver_g2486, Pver_g2654, Pver_g3591, Pver_g5445, Pver_g5928, Pver_g6693, Pver_g7847, Pver_g8642, Pver_g9587, Pver_g9691, Pver_g10243, Pver_g10277, Pver_g10554, Pver_g10667, Pver_g14903, Pver_g14914, Pver_g15186, Pver_g15527, Pver_g16841, Pver_g17180, Pver_g17233, Pver_g17602, Pver_g18076, Pver_g18316, Pver_g21567, Pver_g21700, Pver_g22778, Pver_g26288, Pver_g26605, Pver_g26631, Pver_g26679, Pver_novel_26_5de57afd"
"21","anatomical structure development","GO:0048856","GO:0060215",0.0457019943301403,0.999118307121111,1,6,"primitive hemopoiesis","BP","Pver_g2778, Pver_g3435, Pver_g6262, Pver_g6266, Pver_g19216, Pver_novel_111_5de57afd"
"22","anatomical structure development","GO:0048856","GO:0060853",0.0183787516673884,0.999915202096054,1,2,"Notch signaling pathway involved in arterial endothelial cell fate commitment","BP","Pver_g10963, Pver_g15186"
"23","anatomical structure development","GO:0048856","GO:0072013",0.00505710475151301,1,1,1,"glomus development","BP","Pver_g4013"
"24","anatomical structure development","GO:0048856","GO:0072070",0.0364109778926792,0.999497681230441,1,4,"loop of Henle development","BP","Pver_g17, Pver_g585, Pver_g2536, Pver_g15186"
"25","anatomical structure development","GO:0048856","GO:0072082",0.00505710475151301,1,1,1,"specification of proximal tubule identity","BP","Pver_g4013"
"26","anatomical structure development","GO:0048856","GO:0072196",0.00505710475151301,1,1,1,"proximal/distal pattern formation involved in pronephric nephron development","BP","Pver_g4013"
"27","anatomical structure development","GO:0048856","GO:0097102",0.00923177468686543,1,1,1,"endothelial tip cell fate specification","BP","Pver_g15186"
"28","anatomical structure development","GO:0048856","GO:0097186",0.0256329920858274,0.999779569913505,1,3,"amelogenesis","BP","Pver_g8812, Pver_g13874, Pver_g16873"
"29","anatomical structure development","GO:0048856","GO:0098773",0.018378751667671,0.999915202096051,1,2,"skin epidermis development","BP","Pver_g9469, Pver_g15186"
"30","anatomical structure development","GO:0048856","GO:2000726",0.0183178868646861,0.999915765428046,1,2,"negative regulation of cardiac muscle cell differentiation","BP","Pver_g5118, Pver_g15186"
