"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","ontology","term","dir","gene_id"
"K13352",0.00430194716644702,1,1,1,"KEGG","peroxin-11B","up","Pver_g2753"
"K20369",0.00512405829943183,1,1,1,"KEGG","ER-derived vesicles protein","up","Pver_g23053"
"K22282",0.0075246979714237,1,1,1,"KEGG","fatty acid hydroxylase domain-containing protein 2","up","Pver_g15639"
"K09546",0.00810320105753199,1,1,1,"KEGG","heat shock protein beta-7","up","Pver_g11517"
"K19375",0.00820290742758187,1,1,1,"KEGG","HSPB1-associated protein 1","up","Pver_g14546"
"K03363",0.00887071773256434,1,1,1,"KEGG","cell division cycle 20, cofactor of APC complex","up","Pver_g630"
"K03363",0.00887071773256434,1,1,1,"KEGG","cell division cycle 20, cofactor of APC complex","up","Pver_novel_model_662_5de57afd"
"K07562",0.00901357548271686,1,1,1,"KEGG","nonsense-mediated mRNA decay protein 3","up","Pver_g9524"
"K02608",0.00901988832781288,1,1,1,"KEGG","origin recognition complex subunit 6","up","Pver_g16605"
"K09849",0.00903804415279247,1,1,1,"KEGG","TNF receptor-associated factor 5","up","Pver_g7590"
"K07975",0.00903811983799954,1,1,1,"KEGG","Rho family, other","up","Pver_g15656"
"K23730",0.00903811983853743,1,1,1,"KEGG","coiled-coil domain-containing protein 40","up","Pver_g6350"
"K01254",0.00903811983858408,1,1,1,"KEGG","leukotriene-A4 hydrolase [EC:3.3.2.6]","up","Pver_g16312"
"K03252",0.0090381198385909,1,1,1,"KEGG","translation initiation factor 3 subunit C","up","Pver_g5890"
"K12657",0.00903811983859464,1,1,1,"KEGG","delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]","up","Pver_g26149"
"K07223",0.00903811983859464,1,1,1,"KEGG","porphyrinogen peroxidase [EC:1.11.1.-]","up","Pver_g11857"
"K10392",0.00903811983859464,1,1,1,"KEGG","kinesin family member 1","up","Pver_g5236"
"K07232",0.0108849902730637,0.999970388249179,1,2,"KEGG","glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]","up","Pver_g2049"
"K07232",0.0108849902730637,0.999970388249179,1,2,"KEGG","glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]","up","Pver_g11755"
"K07305",0.0117366258295684,0.999965558496362,1,2,"KEGG","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]","up","Pver_g6370"
"K07305",0.0117366258295684,0.999965558496362,1,2,"KEGG","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]","up","Pver_g24018"
"K09542",0.0122814296607646,0.999962276367725,1,2,"KEGG","crystallin, alpha B","up","Pver_g2515"
"K09542",0.0122814296607646,0.999962276367725,1,2,"KEGG","crystallin, alpha B","up","Pver_g11517"
"K00253",0.013027399645074,0.999957538473128,1,2,"KEGG","isovaleryl-CoA dehydrogenase [EC:1.3.8.4]","up","Pver_g24733"
"K00253",0.013027399645074,0.999957538473128,1,2,"KEGG","isovaleryl-CoA dehydrogenase [EC:1.3.8.4]","up","Pver_g26142"
"K19465",0.0143527957079863,0.999948424242788,1,2,"KEGG","mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]","up","Pver_g82"
"K19465",0.0143527957079863,0.999948424242788,1,2,"KEGG","mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]","up","Pver_g12152"
"K13698",0.0145783098689682,0.999946784670764,1,2,"KEGG","abhydrolase domain-containing protein 4","up","Pver_g15783"
"K13698",0.0145783098689682,0.999946784670764,1,2,"KEGG","abhydrolase domain-containing protein 4","up","Pver_g15784"
"K13699",0.0145783098689682,0.999946784670764,1,2,"KEGG","abhydrolase domain-containing protein 5 [EC:2.3.1.51]","up","Pver_g15783"
"K13699",0.0145783098689682,0.999946784670764,1,2,"KEGG","abhydrolase domain-containing protein 5 [EC:2.3.1.51]","up","Pver_g15784"
"K01667",0.0151949604777998,0.999942169393453,1,2,"KEGG","tryptophanase [EC:4.1.99.1]","up","Pver_g11125"
"K01667",0.0151949604777998,0.999942169393453,1,2,"KEGG","tryptophanase [EC:4.1.99.1]","up","Pver_g11126"
"K23677",0.0156060252912015,0.999938985362245,1,2,"KEGG","MFS transporter, Spinster family, sphingosine-1-phosphate transporter","up","Pver_g318"
"K23677",0.0156060252912015,0.999938985362245,1,2,"KEGG","MFS transporter, Spinster family, sphingosine-1-phosphate transporter","up","Pver_g12634"
"K23224",0.0174406072770219,0.999923725681465,1,2,"KEGG","spermatogenesis-associated protein 6","up","Pver_g15765"
"K23224",0.0174406072770219,0.999923725681465,1,2,"KEGG","spermatogenesis-associated protein 6","up","Pver_g17502"
"K03175",0.0179700393495131,0.999919002731621,1,2,"KEGG","TNF receptor-associated factor 6 [EC:2.3.2.27]","up","Pver_g7590"
"K03175",0.0179700393495131,0.999919002731621,1,2,"KEGG","TNF receptor-associated factor 6 [EC:2.3.2.27]","up","Pver_g10605"
"K05681",0.0179911206198638,0.999918811706305,1,2,"KEGG","ATP-binding cassette, subfamily G (WHITE), member 2","up","Pver_g13279"
"K05681",0.0179911206198638,0.999918811706305,1,2,"KEGG","ATP-binding cassette, subfamily G (WHITE), member 2","up","Pver_g18735"
"K00318",0.0179920311891441,0.999918803450179,1,2,"KEGG","proline dehydrogenase [EC:1.5.5.2]","up","Pver_g8101"
"K00318",0.0179920311891441,0.999918803450179,1,2,"KEGG","proline dehydrogenase [EC:1.5.5.2]","up","Pver_g15293"
"K00844",0.0189295930732638,0.999880231529339,1,3,"KEGG","hexokinase [EC:2.7.1.1]","up","Pver_g541"
"K00844",0.0189295930732638,0.999880231529339,1,3,"KEGG","hexokinase [EC:2.7.1.1]","up","Pver_g542"
"K00844",0.0189295930732638,0.999880231529339,1,3,"KEGG","hexokinase [EC:2.7.1.1]","up","Pver_g849"
"K04513",0.0227068022111526,0.999827369947912,1,3,"KEGG","Ras homolog gene family, member A","up","Pver_g15654"
"K04513",0.0227068022111526,0.999827369947912,1,3,"KEGG","Ras homolog gene family, member A","up","Pver_g15655"
"K04513",0.0227068022111526,0.999827369947912,1,3,"KEGG","Ras homolog gene family, member A","up","Pver_g15656"
"K00789",0.0233124637153547,0.999817987856381,1,3,"KEGG","S-adenosylmethionine synthetase [EC:2.5.1.6]","up","Pver_g846"
"K00789",0.0233124637153547,0.999817987856381,1,3,"KEGG","S-adenosylmethionine synthetase [EC:2.5.1.6]","up","Pver_g14739"
"K00789",0.0233124637153547,0.999817987856381,1,3,"KEGG","S-adenosylmethionine synthetase [EC:2.5.1.6]","up","Pver_g18546"
"K19766",0.0233319901956017,0.999781447982155,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","up","Pver_g2515"
"K19766",0.0233319901956017,0.999781447982155,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","up","Pver_g11516"
"K19766",0.0233319901956017,0.999781447982155,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","up","Pver_g11517"
"K19766",0.0233319901956017,0.999781447982155,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","up","Pver_g11518"
"K19766",0.0233319901956017,0.999781447982155,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11","up","Pver_g11519"
"K17924",0.0237213564719723,0.999811511953933,1,3,"KEGG","sorting nexin-10/11","up","Pver_g7975"
