"","Function","Hypothesis.driven.connection","References","gene_id"
"1","Response to nutrient levels","Biosynthesis and regulation of fatty acid levels","(Juarez et al. 2024)","Pver_g1361"
"2","Response to nutrient levels","Biosynthesis and regulation of fatty acid levels","(Juarez et al. 2024)","Pver_g19389"
"3","Response to nutrient levels","Nutrient response","(Juarez et al. 2024)","Pver_g20419"
"4","Innate immune response","Immune response","(Kvennefors et al. 2010)","Pver_g3238"
"5","Innate immune response","Immune response","(Kvennefors et al. 2010)","Pver_g13643"
"6","Cellular response to DNA damage stimulus","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g4513"
"7","Cellular response to DNA damage stimulus","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g4515"
"8","Mitochondrion organization","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g13406"
"9","Response to oxidative stress","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g7074"
"10","Amine transport","Nitrogen metabolism/ammonium transport","(Matthews et al. 2017)","Pver_g26058"
"11","Amine transport","Nitrogen metabolism/ammonium transport","(Matthews et al. 2017)","Pver_g6030"
"12","Regulation of response to stress","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g142"
"13","Glutamine synthetase","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g24695"
"14","Response to abiotic stimulus, response to stress","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g14254"
"15","Response to abiotic stimulus, response to stress","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g21825"
"16","Response to abiotic stimulus, response to stress","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g11362"
"17","Response to abiotic stimulus, response to stress","Symbiosis establishment, breakdown, regulation","(Li et al. 2018)","Pver_g23269"
"18","Regulation of apoptotic process, regulation of immune system process","Symbiosis establishment, breakdown, regulation","(Li et al. 2018) (Kvennefors et al. 2010)","Pver_g14924"
"19","Regulation of apoptotic process, regulation of immune system process","Symbiosis establishment, breakdown, regulation","(Li et al. 2018) (Kvennefors et al. 2010)","Pver_g16666"
"20","Regulation of apoptotic process, regulation of immune system process","Symbiosis establishment, breakdown, regulation","(Li et al. 2018) (Kvennefors et al. 2010)","Pver_g5495"
"21","Regulation of apoptotic process, regulation of immune system process","Symbiosis establishment, breakdown, regulation","(Li et al. 2018) (Kvennefors et al. 2010)","Pver_g24551"
"22","Regulation of nitric oxide mediated signal transduction","Nitrogen metabolism and transport","(Rädecker et al. 2021) (Ganot et al. 2011)","Pver_g2042"
"23","Regulation of nitric oxide mediated signal transduction","Nitrogen metabolism and transport","(Rädecker et al. 2021) (Ganot et al. 2011)","Pver_g8332"
"24","DNA methylation","Epigenetic regulation","(Li et al. 2018)","Pver_g18078"
"25","GDP-D-glucose phosphorylase activity","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017)","Pver_g5685"
"26","Glycogen biosynthetic process","Glycogenogenesis","(Lehnert et al. 2014; Matthews et al. 2017)","Pver_g24968"
"27","Glucose-6-phosphate transport","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017)(Ganot et al. 2011)","Pver_g19061"
"28","Glucose-6-phosphate transport","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017)(Ganot et al. 2011)","Pver_g632"
"29","Glucose-6-phosphate transport","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017)(Ganot et al. 2011)","Pver_g633"
"30","Gluconeogenesis","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g15167"
"31","Gluconeogenesis","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g24572"
"32","Gluconeogenesis","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g15167"
"33","Gluconeogenesis","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g24572"
"34","Gluconeogenesis","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g18012"
"35","Gluconeogenesis","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g15167"
"36","Gluconeogenesis","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g18012"
"37","Extracellular matrix organization","Carbohydrate transport and storage","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g7207"
"38","Protein ubiquitination","Protein synthesis/binding","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g15080"
"39","Proteasome-mediated ubiquitin-dependent protein catabolic process","Protein synthesis/binding","(Li et al. 2018) (Matthews et al. 2017) (Ganot et al. 2011)","Pver_g5984"
"40","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g3047"
"41","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g24542"
"42","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g24312"
"43","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g23262"
"44","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g23265"
"45","Glutamate dehydrogenase (NAD+) activity","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g14982"
"46","Glutamine biosynthetic process","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g25025"
"47","Glutamine synthetase","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g7165"
"48","Glutamine synthetase","GS-GOGAT/ammonium assimilation/nitrogen metabolism","(Fam et al. 2018; Roberty et al. 2020; Pernice et al. 2012)","Pver_g22784"
"49","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g5894"
"50","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g5895"
"51","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g21809"
"52","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g5894"
"53","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g5895"
"54","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g20102"
"55","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g25060"
"56","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g12568"
"57","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g18766"
"58","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g26630"
"59","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g17291"
"60","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g17295"
"61","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g4639"
"62","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g12570"
"63","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g18767"
"64","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g4037"
"65","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g4659"
"66","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g15426"
"67","Regulation of immune system process","Immune response","(Kvennefors et al. 2010)","Pver_g20227"
"68","Peptide transport","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g24126"
"69","Peptide transport","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g2412"
"70","Glutathione peroxidase activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g919"
"71","Glutathione peroxidase activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g17157"
"72","Glutathione peroxidase activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g5973"
"73","Glutathione peroxidase activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g6031"
"74","Glutathione peroxidase activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g11747"
"75","Glutathione peroxidase activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g17157"
"76","Glutathione peroxidase activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g5973"
"77","Glutathione peroxidase activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g17157"
"78","Glutathione metabolic process","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g20284"
"79","Glutathione metabolic process","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g12378"
"80","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g40"
"81","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g140"
"82","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g3171"
"83","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g3313"
"84","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g6901"
"85","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g11138"
"86","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g11139"
"87","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g14775"
"88","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g14876"
"89","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g17032"
"90","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g17033"
"91","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g17035"
"92","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g17036"
"93","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g17037"
"94","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g17038"
"95","Glutathione biosynthetic process, response to nutrient levels","ROS detoxification/stress response/symbiont regulation/nutrient response","(Ganot et al. 2011)","Pver_g17039"
"96","Glutathione-disulfide reductase (NADPH) activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g10313"
"97","Glutathione-disulfide reductase (NADPH) activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g1731"
"98","Glutathione-disulfide reductase (NADPH) activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g4586"
"99","Glutathione-disulfide reductase (NADPH) activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g12378"
"100","Glutathione-disulfide reductase (NADPH) activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g20284"
"101","Glutathione-disulfide reductase (NADPH) activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g25740"
"102","Glutathione-disulfide reductase (NADPH) activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g26213"
"103","Glutathione-disulfide reductase (NADPH) activity","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g20284"
"104","Glutathione biosynthetic process","ROS detoxification/stress response/symbiont regulation","(Ganot et al. 2011)","Pver_g2049"
"105","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g24587"
"106","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g19974"
"107","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g12446"
"108","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g10088"
"109","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g9119"
"110","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g1672"
"111","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g1098"
"112","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g1089"
"113","Protein binding","Stress response","(Rädecker et al. 2021)","Pver_g7807"
