"gene"	"pval.treatment"	"adj.pval.treatment"	"SWISS_Description"	"SWISS_Length"	"SWISS_.Hits"	"SWISS_e.Value"	"SWISS_sim.mean"	"SWISS_.GO"	"SWISS_GO.IDs"	"SWISS_GO.Names"	"SWISS_Enzyme.Codes"	"SWISS_Enzyme.Names"	"TREMBL_Description"	"TREMBL_Length"	"TREMBL_.Hits"	"TREMBL_e.Value"	"TREMBL_sim.mean"	"TREMBL_.GO"	"TREMBL_GO.IDs"	"TREMBL_GO.Names"	"TREMBL_Enzyme.Codes"	"TREMBL_Enzyme.Names"	"INTERPRO_Length"	"InterPro.IDs"	"InterPro.GO.IDs"	"InterPro.GO.Names"	"BLAST_Description"	"BLAST_Length"	"BLAST_.Hits"	"BLAST_e.Value"	"BLAST_sim.mean"	"BLAST_.GO"	"BLAST_GO.IDs"	"BLAST_GO.Names"	"BLAST_Enzyme.Codes"	"BLAST_Enzyme.Names"
"Pver_gene_g16653"	2.15557699355625e-308	4.10206301873754e-305	"IF2H_RATEukaryotic translation initiation factor 2 subunit 3, Y-linked OS=Rattus norvegicus OX=10116 GN=Eif2s3y PE=2 SV=2"	3754	5	0	90.89	9	"P:GO:0001731; P:GO:0045903; F:GO:0000049; F:GO:0003743; F:GO:0003924; F:GO:0005515; F:GO:0005525; C:GO:0005829; C:GO:0005850"	"P:formation of translation preinitiation complex; P:positive regulation of translational fidelity; F:tRNA binding; F:translation initiation factor activity; F:GTPase activity; F:protein binding; F:GTP binding; C:cytosol; C:eukaryotic translation initiation factor 2 complex"	"EC:3.6.1"	"Acting on acid anhydrides"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3753	"IPR000795 (PRINTS); IPR019734 (SMART); PF13424 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR005142 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR036890 (G3DSA:3.30.565.GENE3D); IPR029064 (G3DSA:3.30.1330.GENE3D); IPR029064 (G3DSA:3.30.1330.GENE3D); IPR001296 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); G3DSA:2.40.30.10 (GENE3D); IPR024983 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); PF13589 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR015256 (PFAM); IPR024983 (PFAM); G3DSA:2.40.30.10 (GENE3D); IPR000795 (PFAM); IPR004161 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); G3DSA:3.40.50.2000 (GENE3D); IPR019734 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR10098 (PANTHER); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000795 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000795 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); cd01889 (CDD); IPR044127 (CDD); IPR015256 (CDD); cd03801 (CDD); IPR011990 (SUPERFAMILY); IPR029064 (SUPERFAMILY); IPR009000 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR029064 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF53756 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR009001 (SUPERFAMILY); IPR036890 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY)"	"F:GO:0000049; F:GO:0003924; F:GO:0005515; F:GO:0005525; F:GO:0016757"	"F:tRNA binding; F:GTPase activity; F:protein binding; F:GTP binding; F:glycosyltransferase activity"	"RMX59867.1"	3754	1	1.6e-236	83.47	NA	NA	NA	NA	NA
"Pver_gene_g23213"	1.95113234885594e-202	1.85650242993643e-199	"TTC28_MOUSETetratricopeptide repeat protein 28 OS=Mus musculus OX=10090 GN=Ttc28 PE=1 SV=3"	3359	5	5.18e-128	47.59	22	"P:GO:0003014; P:GO:0006811; P:GO:0006873; P:GO:0006952; P:GO:0007588; P:GO:0010033; P:GO:0033554; P:GO:0044267; P:GO:0050794; P:GO:0055065; P:GO:0055067; P:GO:0055081; P:GO:0071702; P:GO:0072234; F:GO:0005515; C:GO:0005576; C:GO:0005737; C:GO:0005819; C:GO:0012505; C:GO:0042995; C:GO:0043231; C:GO:0098590"	"P:renal system process; P:ion transport; P:cellular ion homeostasis; P:defense response; P:excretion; P:response to organic substance; P:cellular response to stress; P:cellular protein metabolic process; P:regulation of cellular process; P:metal ion homeostasis; P:monovalent inorganic cation homeostasis; P:anion homeostasis; P:organic substance transport; P:metanephric nephron tubule development; F:protein binding; C:extracellular region; C:cytoplasm; C:spindle; C:endomembrane system; C:cell projection; C:intracellular membrane-bounded organelle; C:plasma membrane region"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3358	"IPR001881 (SMART); IPR000742 (SMART); IPR019734 (SMART); PF13374 (PFAM); IPR001881 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); G3DSA:2.10.25.10 (GENE3D); IPR041617 (PFAM); IPR024731 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PF13424 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR024983 (PFAM); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); PTHR10098 (PANTHER); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); IPR000742 (PROSITE_PATTERNS); IPR000742 (PROSITE_PATTERNS); IPR018097 (PROSITE_PATTERNS); IPR000742 (PROSITE_PATTERNS); IPR000742 (PROSITE_PATTERNS); IPR000152 (PROSITE_PATTERNS); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); cd00054 (CDD); cd00054 (CDD); cd00054 (CDD); cd00054 (CDD); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF57196 (SUPERFAMILY)"	"F:GO:0005509; F:GO:0005515"	"F:calcium ion binding; F:protein binding"	"RMX50647.1"	3359	1	7e-236	86.88	NA	NA	NA	NA	NA
"Pver_gene_g3320"	1.27489763261705e-94	8.08710064956749e-92	NA	473	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4SJE5_STYPISEFIR domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene5244 PE=4 SV=1"	473	5	8.05e-131	79.59	3	"P:GO:0007399; F:GO:0005102; C:GO:0016021"	"P:nervous system development; F:signaling receptor binding; C:integral component of membrane"	NA	NA	472	"IPR013783 (G3DSA:2.60.40.GENE3D); IPR038683 (G3DSA:2.60.40.GENE3D); IPR000477 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR33332 (PANTHER); PTHR33332:SF23 (PANTHER); IPR036179 (SUPERFAMILY)"	NA	NA	"XP_027044247.1"	473	1	1.6e-109	74.54	NA	NA	NA	NA	NA
"Pver_gene_g10920"	1.40428872624015e-60	6.68090361508751e-58	NA	1269	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4SG21_STYPIIntegrase catalytic domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene7834 PE=4 SV=1"	1269	5	0	55.68	2	"P:GO:0015074; F:GO:0003676"	"P:DNA integration; F:nucleic acid binding"	NA	NA	1268	"Coil (COILS); Coil (COILS); IPR008042 (PFAM); IPR008737 (PFAM); IPR005312 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); G3DSA:3.10.10.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR22955:SF60 (PANTHER); PTHR22955 (PANTHER); IPR043502 (SUPERFAMILY)"	NA	NA	"XP_015761276.1"	1269	1	0	47.49	NA	NA	NA	NA	NA
"Pver_gene_g16468"	2.22336761629554e-52	8.46213714762083e-50	NA	442	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4RDL9_STYPIUbiquitin thioesterase otu2 OS=Stylophora pistillata OX=50429 GN=otu2 PE=4 SV=1"	442	5	4.63e-115	69.56	NA	NA	NA	NA	NA	441	"mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)"	NA	NA	"XP_027053706.1"	442	1	3.7e-84	78.35	NA	NA	NA	NA	NA
"Pver_gene_g16429"	1.39239542833076e-50	4.41621416685573e-48	"POL3_DROMERetrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster OX=7227 GN=pol PE=4 SV=1"	1775	5	4.38e-103	54.72	7	"P:GO:0006259; F:GO:0004518; F:GO:0016740; F:GO:0097159; F:GO:0140640; F:GO:1901363; C:GO:0005634"	"P:DNA metabolic process; F:nuclease activity; F:transferase activity; F:organic cyclic compound binding; F:catalytic activity, acting on a nucleic acid; F:heterocyclic compound binding; C:nucleus"	"EC:3.1; EC:2"	"Acting on ester bonds; Transferases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1774	"Coil (COILS); Coil (COILS); Coil (COILS); IPR001878 (SMART); IPR021109 (G3DSA:2.40.70.GENE3D); IPR041588 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); IPR000477 (PFAM); IPR036397 (G3DSA:3.30.420.GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); G3DSA:4.10.60.10 (GENE3D); G3DSA:3.10.10.10 (GENE3D); IPR041577 (PFAM); G3DSA:1.10.340.70 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24559:SF324 (PANTHER); PTHR24559 (PANTHER); IPR001969 (PROSITE_PATTERNS); IPR001878 (PROSITE_PROFILES); IPR000477 (PROSITE_PROFILES); cd09274 (CDD); cd00303 (CDD); cd01647 (CDD); IPR036875 (SUPERFAMILY); IPR021109 (SUPERFAMILY); IPR012337 (SUPERFAMILY); IPR043502 (SUPERFAMILY)"	"P:GO:0006508; F:GO:0003676; F:GO:0004190; F:GO:0008270"	"P:proteolysis; F:nucleic acid binding; F:aspartic-type endopeptidase activity; F:zinc ion binding"	"XP_020629946.1"	1775	1	0	48.51	NA	NA	NA	NA	NA
"Pver_gene_g19578"	7.31399057663832e-49	1.98836058104896e-46	"YMD2_CAEELUncharacterized protein F54H12.2 OS=Caenorhabditis elegans OX=6239 GN=F54H12.2 PE=4 SV=1"	2632	1	7.3e-07	40.5	3	"P:GO:0009263; F:GO:0004748; C:GO:0005829"	"P:deoxyribonucleotide biosynthetic process; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; C:cytosol"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2631	"Coil (COILS); Coil (COILS); IPR001878 (SMART); IPR023211 (G3DSA:3.90.1600.GENE3D); G3DSA:3.40.960.10 (GENE3D); IPR036397 (G3DSA:3.30.420.GENE3D); IPR040676 (PFAM); IPR041588 (PFAM); IPR036397 (G3DSA:3.30.420.GENE3D); IPR005312 (PFAM); IPR004868 (PFAM); PTHR22955:SF60 (PANTHER); PTHR22955 (PANTHER); PTHR22955:SF60 (PANTHER); PTHR22955 (PANTHER); IPR001584 (PROSITE_PROFILES); IPR001584 (PROSITE_PROFILES); IPR001584 (PROSITE_PROFILES); IPR001584 (PROSITE_PROFILES); IPR012337 (SUPERFAMILY); IPR012337 (SUPERFAMILY); IPR012337 (SUPERFAMILY); IPR012337 (SUPERFAMILY)"	"P:GO:0006260; P:GO:0015074; F:GO:0000166; F:GO:0003676; F:GO:0003677; F:GO:0003887; F:GO:0008270"	"P:DNA replication; P:DNA integration; F:nucleotide binding; F:nucleic acid binding; F:DNA binding; F:DNA-directed DNA polymerase activity; F:zinc ion binding"	"XP_029203053.1"	2632	1	0	60.16	NA	NA	NA	NA	NA
"Pver_gene_g16862"	1.08305627269317e-47	2.57632010866888e-45	"YTX2_XENLATransposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis OX=8355 PE=4 SV=1"	952	4	3.16e-72	47.95	3	"P:GO:0006259; F:GO:0004518; F:GO:0016740"	"P:DNA metabolic process; F:nuclease activity; F:transferase activity"	"EC:3.1; EC:2"	"Acting on ester bonds; Transferases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	951	"Coil (COILS); IPR001878 (SMART); G3DSA:4.10.60.10 (GENE3D); IPR001878 (PFAM); IPR036691 (G3DSA:3.60.10.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR25952 (PANTHER); PTHR25952:SF241 (PANTHER); IPR001878 (PROSITE_PROFILES); cd09076 (CDD); IPR036691 (SUPERFAMILY); IPR036875 (SUPERFAMILY)"	"F:GO:0003676; F:GO:0008270"	"F:nucleic acid binding; F:zinc ion binding"	"RMX45634.1"	952	1	1.4e-213	87.44	1	"F:GO:0003824"	"F:catalytic activity"	NA	NA
"Pver_gene_g4621"	1.4638417278849e-47	3.09521200907218e-45	"PCM1_XENLAPericentriolar material 1 protein OS=Xenopus laevis OX=8355 GN=pcm1 PE=1 SV=1"	2325	4	1.46e-104	47.75	11	"P:GO:0006928; P:GO:0033365; P:GO:0034453; P:GO:0046907; P:GO:0048699; P:GO:0050794; P:GO:0060271; F:GO:0005515; C:GO:0005737; C:GO:0005813; C:GO:0005929"	"P:movement of cell or subcellular component; P:protein localization to organelle; P:microtubule anchoring; P:intracellular transport; P:generation of neurons; P:regulation of cellular process; P:cilium assembly; F:protein binding; C:cytoplasm; C:centrosome; C:cilium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2325	"Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); IPR031446 (PFAM); IPR013783 (G3DSA:2.60.40.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR024138 (PANTHER); IPR000477 (PROSITE_PROFILES)"	"P:GO:0034454; P:GO:0060271; P:GO:0071539; C:GO:0005813"	"P:microtubule anchoring at centrosome; P:cilium assembly; P:protein localization to centrosome; C:centrosome"	"XP_027058530.1"	2325	1	0	93.24	NA	NA	NA	NA	NA
"Pver_gene_g3922"	6.16725453388979e-47	1.17362853779923e-44	"ST3A1_RABITAmine sulfotransferase OS=Oryctolagus cuniculus OX=9986 GN=SULT3A1 PE=1 SV=1"	811	5	2.74e-31	55.6	7	"P:GO:0051923; P:GO:0071704; P:GO:0140059; F:GO:0004062; F:GO:0005515; C:GO:0005739; C:GO:0005829"	"P:sulfation; P:organic substance metabolic process; P:dendrite arborization; F:aryl sulfotransferase activity; F:protein binding; C:mitochondrion; C:cytosol"	"EC:2.8.2.1"	"Aryl sulfotransferase"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	810	"IPR000863 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); PTHR11783:SF100 (PANTHER); PTHR11783 (PANTHER); IPR027417 (SUPERFAMILY)"	"F:GO:0008146"	"F:sulfotransferase activity"	"KXJ04759.1"	811	1	3.5e-93	50.88	NA	NA	NA	NA	NA
