"gene"	"pval.treatment"	"adj.pval.treatment"	"Query"	"Source"	"Hit_accession"	"Hit_description"	"Query_length"	"Hit_length"	"Identity."	"bitscore"	"evalue"	"Coverage"	"Organism"	"Gene_ontology_IDs"
"Pver_gene_g19288"	3.36651751971681e-204	5.05516270760676e-200	"Pver_g19288.t1"	"trembl"	"A0A2B4RU22"	"Uncharacterized protein C7orf31-like"	830	365	45.8	314	5.16e-89	33.85899814	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003676"
"Pver_gene_g16653"	4.30083795937456e-201	3.22906913989842e-197	"Pver_g16653.t2"	"swiss-prot"	"C9WPN6"	"Eukaryotic translation initiation factor 2 subunit 3, Y-linked (Eukaryotic translation initiation factor 2 subunit gamma, Y-linked) (eIF-2-gamma Y)"	3754	349	85.7	610	0	73.94067797	"Rattus norvegicus (Rat)"	"GO:0001731; GO:0003743; GO:0003924; GO:0005525; GO:0005737; GO:0005829; GO:0005850; GO:0045903"
"Pver_gene_g8436"	1.25851445637548e-166	6.29928435897807e-163	"Pver_g8436.t1"	"swiss-prot"	"P20825"	"Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	3349	681	27.753	260	1.63e-69	64.30594901	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g23213"	2.9465594267086e-129	1.10613840878641e-125	"Pver_g23213.t1"	"swiss-prot"	"Q91X17"	"Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]"	3359	320	35.3	183	2.19e-46	49.84423676	"Mus musculus (Mouse)"	"GO:0000922; GO:0005509; GO:0005615; GO:0005794; GO:0005929; GO:0007157; GO:0007159; GO:0007588; GO:0016323; GO:0016324; GO:0019864; GO:0031225; GO:0031410; GO:0045121; GO:0045177; GO:0048878; GO:0050801; GO:0060170; GO:0072218; GO:0072221; GO:0072233; GO:1990266"
"Pver_gene_g14580"	5.36043904196153e-108	1.60984705308189e-104	"Pver_g14580.t1"	"trembl"	"A0A315V8K1"	"Integrase catalytic domain-containing protein (Fragment)"	2005	1360	42.4	1072	0	89.23884514	"Gambusia affinis (Western mosquitofish) (Heterandria affinis)"	"GO:0003676; GO:0015074"
"Pver_gene_g9998"	4.78905590148583e-107	1.19854105694519e-103	"Pver_g9998.t1"	"swiss-prot"	"Q8I7P9"	"Retrovirus-related Pol polyprotein from transposon opus [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	2723	400	27.8	124	5.5e-27	39.88035892	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004519; GO:0005634; GO:0006313; GO:0008233; GO:0015074"
"Pver_gene_g26178"	3.37276190636098e-94	7.23505611227379e-91	"Pver_g26178.t1"	"swiss-prot"	"Q86Y13"	"E3 ubiquitin-protein ligase DZIP3 (EC 2.3.2.27) (DAZ-interacting protein 3) (RING-type E3 ubiquitin transferase DZIP3) (RNA-binding ubiquitin ligase of 138 kDa) (hRUL138)"	504	150	29.3	63.9	2.29e-09	12.41721854	"Homo sapiens (Human)"	"GO:0000209; GO:0003723; GO:0004842; GO:0005737; GO:0019902; GO:0031593; GO:0046872; GO:0061630"
"Pver_gene_g20776"	3.17596235053123e-91	5.96128133194711e-88	"Pver_g20776.t1"	"trembl"	"A0A2B4REJ3"	"S-antigen protein"	721	684	93.713	1306	0	35.13097072	"Stylophora pistillata (Smooth cauliflower coral)"	"GO:0003700; GO:0008270; GO:0061400"
"Pver_gene_g19018"	4.58337274612492e-73	7.64710279509019e-70	"Pver_g19018.t1"	"swiss-prot"	"P20825"	"Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]"	822	142	36.6	81.3	1.99e-14	13.4088763	"Drosophila melanogaster (Fruit fly)"	"GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"Pver_gene_g20525"	1.26695721468253e-71	1.90246295356728e-68	"Pver_g20525.t1"	"trembl"	"A0A2B4SRI6"	"Uncharacterized protein"	604	252	39.7	168	1.29e-42	59.85748219	"Stylophora pistillata (Smooth cauliflower coral)"	""
