Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442306
A0A3M6T7L6	A0A3M6T7L6_POCDA	unreviewed	pdam_00023732	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	412	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524	RMX37362.1
A0A3M6USQ8	A0A3M6USQ8_POCDA	unreviewed	pdam_00002433	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	267	oxidoreductase activity [GO:0016491]	GO:0016491	RMX56680.1
A0A3M6USM9	A0A3M6USM9_POCDA	unreviewed	pdam_00002441	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Transferrin-like domain-containing protein	402	extracellular region [GO:0005576]	GO:0005576	RMX56662.1
A0A3M6UST4	A0A3M6UST4_POCDA	unreviewed	pdam_00002442	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Transferrin-like domain-containing protein	337	extracellular region [GO:0005576]	GO:0005576	RMX56659.1
A0A2B4SB88	A0A2B4SB88_STYPI	unreviewed	PDF1A AWC38_SpisGene7319	Stylophora pistillata (Smooth cauliflower coral)	Peptide deformylase (EC 3.5.1.88)	407	metal ion binding [GO:0046872]; peptide deformylase activity [GO:0042586]; translation [GO:0006412]	GO:0006412; GO:0042586; GO:0046872	PFX27944.1
A0A3M6USU9	A0A3M6USU9_POCDA	unreviewed	pdam_00002449	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1114	integral component of membrane [GO:0016021]	GO:0016021	RMX56654.1
A0A3M6TI29	A0A3M6TI29_POCDA	unreviewed	pdam_00017665	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	284	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cell projection organization [GO:0030030]	GO:0005737; GO:0005856; GO:0030030; GO:0042995	RMX40918.1
A0A2B4S6V4	A0A2B4S6V4_STYPI	unreviewed	bioC AWC38_SpisGene11104	Stylophora pistillata (Smooth cauliflower coral)	Malonyl-[acyl-carrier protein] O-methyltransferase	377	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259	PFX24317.1
A0A3M6TKH4	A0A3M6TKH4_POCDA	unreviewed	pdam_00005552	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	539			RMX41788.1
A0A2B4STF7	A0A2B4STF7_STYPI	unreviewed	pol AWC38_SpisGene2580	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	656			PFX32626.1
A0A3M6TBC6	A0A3M6TBC6_POCDA	unreviewed	pdam_00023685	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	620	metal ion binding [GO:0046872]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0006511; GO:0046872	RMX38574.1
A0A3M6U1L4	A0A3M6U1L4_POCDA	unreviewed	pdam_00023397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3028			RMX47585.1
A0A2B4ST14	A0A2B4ST14_STYPI	unreviewed	NLRP12 AWC38_SpisGene2674	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	3848			PFX32476.1
A0A3M6URH8	A0A3M6URH8_POCDA	unreviewed	pdam_00011674	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Tudor domain-containing protein	978			RMX56251.1
