Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434B0W
A0A3M6TRW4	A0A3M6TRW4_POCDA	unreviewed	pdam_00015024	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	154			RMX44079.1
A0A3M6TRS5	A0A3M6TRS5_POCDA	unreviewed	pdam_00015025	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glyco_18 domain-containing protein	488	chitin binding [GO:0008061]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	GO:0004553; GO:0005975; GO:0008061	RMX44080.1
A0A3M6TRN6	A0A3M6TRN6_POCDA	unreviewed	pdam_00015039	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	199	cytoplasm [GO:0005737]; exosome (RNase complex) [GO:0000178]; RNA binding [GO:0003723]; RNA processing [GO:0006396]	GO:0000178; GO:0003723; GO:0005737; GO:0006396	RMX44073.1
A0A2B4SK42	A0A2B4SK42_STYPI	unreviewed	AWC38_SpisGene6056	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	194			PFX29240.1
A0A3M6ULX4	A0A3M6ULX4_POCDA	unreviewed	pdam_00023423	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SH2 domain-containing protein	674	signal transduction [GO:0007165]	GO:0007165	RMX54348.1
A0A3M6UL57	A0A3M6UL57_POCDA	unreviewed	pdam_00023426	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	397	cysteine-type endopeptidase activity [GO:0004197]	GO:0004197	RMX54352.1
A0A3M6TBI0	A0A3M6TBI0_POCDA	unreviewed	pdam_00024712	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1346	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	GO:0005085; GO:0007264	RMX38713.1
A0A2B4SNC1	A0A2B4SNC1_STYPI	unreviewed	K02A2.6 AWC38_SpisGene5164	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	574			PFX30078.1
A0A2B4SUX5	A0A2B4SUX5_STYPI	unreviewed	AWC38_SpisGene2024	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	143			PFX33146.1
A0A2B4T2H7	A0A2B4T2H7_STYPI	unreviewed	AWC38_SpisGene234	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	369			PFX34988.1
A0A3M6THG8	A0A3M6THG8_POCDA	unreviewed	pdam_00006516	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	714	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX40830.1
A0A2B4T2I4	A0A2B4T2I4_STYPI	unreviewed	adrb1 AWC38_SpisGene232	Stylophora pistillata (Smooth cauliflower coral)	Beta-1 adrenergic receptor	956	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX34982.1
A0A3M6THG3	A0A3M6THG3_POCDA	unreviewed	pdam_00006493	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BTB domain-containing protein	585			RMX40820.1
A0A3M6URK4	A0A3M6URK4_POCDA	unreviewed	pdam_00015885	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	551			RMX56194.1
A0A2B4SE87	A0A2B4SE87_STYPI	unreviewed	Trim71 AWC38_SpisGene8545	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1786	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; cysteine-type peptidase activity [GO:0008234]; zinc ion binding [GO:0008270]; signal transduction [GO:0007165]	GO:0005737; GO:0007165; GO:0008234; GO:0008270; GO:0016021	PFX26755.1
