Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441EC3
A0A3M6U9M7	A0A3M6U9M7_POCDA	unreviewed	pdam_00006940	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1770			RMX50357.1
A0A3M6TRU6	A0A3M6TRU6_POCDA	unreviewed	pdam_00017575	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	209			RMX43988.1
A0A3M6TRL1	A0A3M6TRL1_POCDA	unreviewed	pdam_00017578	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Spondin domain-containing protein	821			RMX43981.1
A0A3M6TZP5	A0A3M6TZP5_POCDA	unreviewed	pdam_00007641	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	N-acetyltransferase domain-containing protein	316	N-acetyltransferase activity [GO:0008080]	GO:0008080	RMX46831.1
A0A3M6UQS7	A0A3M6UQS7_POCDA	unreviewed	pdam_00016397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	453	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX55995.1
A0A2B4S5U7	A0A2B4S5U7_STYPI	unreviewed	AWC38_SpisGene11234	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	219			PFX24170.1
A0A2B4R7T1	A0A2B4R7T1_STYPI	unreviewed	AWC38_SpisGene23081	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1492	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX12889.1
A0A3M6T9W9	A0A3M6T9W9_POCDA	unreviewed	pdam_00023309	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FHA domain-containing protein	924	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]	GO:0005737; GO:0046872	RMX38175.1
A0A3M6UM11	A0A3M6UM11_POCDA	unreviewed	pdam_00009320	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Sulfhydryl oxidase (EC 1.8.3.2)	167	flavin-linked sulfhydryl oxidase activity [GO:0016971]	GO:0016971	RMX54685.1
A0A3M6TYE3	A0A3M6TYE3_POCDA	unreviewed	pdam_00000491	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DDE-1 domain-containing protein	238	nucleic acid binding [GO:0003676]	GO:0003676	RMX46299.1
A0A2B4S352	A0A2B4S352_STYPI	unreviewed	N AWC38_SpisGene12224	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus Notch protein	763	calcium ion binding [GO:0005509]	GO:0005509	PFX23210.1
A0A2B4S351	A0A2B4S351_STYPI	unreviewed	ABCC4 AWC38_SpisGene12477	Stylophora pistillata (Smooth cauliflower coral)	Multidrug resistance-associated protein 4	2705	integral component of membrane [GO:0016021]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]	GO:0005524; GO:0008559; GO:0016021	PFX22998.1
A0A3M6TYN4	A0A3M6TYN4_POCDA	unreviewed	pdam_00000540	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	598	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]	GO:0005509; GO:0030246	RMX46461.1
A0A2B4SVQ1	A0A2B4SVQ1_STYPI	unreviewed	Nrp2 AWC38_SpisGene2012	Stylophora pistillata (Smooth cauliflower coral)	Neuropilin-2	2279	integral component of membrane [GO:0016021]	GO:0016021	PFX33163.1
A0A2B4S663	A0A2B4S663_STYPI	unreviewed	AWC38_SpisGene10518	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1074			PFX24876.1
A0A2B4R7C8	A0A2B4R7C8_STYPI	unreviewed	TTC28 AWC38_SpisGene23681	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1616	integral component of membrane [GO:0016021]	GO:0016021	PFX12380.1
A0A3M6U856	A0A3M6U856_POCDA	unreviewed	pdam_00022432	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	JmjC domain-containing protein (Fragment)	739	integral component of membrane [GO:0016021]	GO:0016021	RMX49850.1
A0A3M6UIT2	A0A3M6UIT2_POCDA	unreviewed	pdam_00004343	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F-box domain-containing protein (Fragment)	528			RMX53603.1
A0A3M6TIL2	A0A3M6TIL2_POCDA	unreviewed	pdam_00003314	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	141	extracellular region [GO:0005576]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; channel activity [GO:0015267]; cation transport [GO:0006812]; hemolysis in other organism involved in symbiotic interaction [GO:0052331]; pore complex assembly [GO:0046931]	GO:0005576; GO:0005886; GO:0006812; GO:0015267; GO:0044218; GO:0046930; GO:0046931; GO:0052331	RMX41108.1
A0A2B4SW97	A0A2B4SW97_STYPI	unreviewed	AWC38_SpisGene1519	Stylophora pistillata (Smooth cauliflower coral)	SWIM-type domain-containing protein	1118	integral component of membrane [GO:0016021]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]; positive regulation of transcription from RNA polymerase II promoter in response to calcium ion [GO:0061400]	GO:0003700; GO:0008270; GO:0016021; GO:0061400	PFX33616.1
A0A2B4RIV6	A0A2B4RIV6_STYPI	unreviewed	AWC38_SpisGene18967	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	918	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX16749.1
A0A3M6TYL8	A0A3M6TYL8_POCDA	unreviewed	pdam_00023228	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	579	integral component of membrane [GO:0016021]	GO:0016021	RMX46490.1
A0A2B4RDB5	A0A2B4RDB5_STYPI	unreviewed	AWC38_SpisGene20646	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	496			PFX15146.1
A0A3M6U099	A0A3M6U099_POCDA	unreviewed	pdam_00025229	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Fibrinogen C-terminal domain-containing protein	316	extracellular matrix structural constituent [GO:0005201]	GO:0005201	RMX47056.1
A0A498LP56	A0A498LP56_LABRO	unreviewed	ROHU_031816	Labeo rohita (Indian major carp) (Cyprinus rohita)	RNA-directed DNA polymerase from mobile element jockey-like protein	1112	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	RXN08554.1
A0A2B4S216	A0A2B4S216_STYPI	unreviewed	FBN1 AWC38_SpisGene12924	Stylophora pistillata (Smooth cauliflower coral)	Fibrillin-1	955	calcium ion binding [GO:0005509]	GO:0005509	PFX22542.1
A0A3M6TR29	A0A3M6TR29_POCDA	unreviewed	pdam_00017049	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Hcy-binding domain-containing protein	424	betaine-homocysteine S-methyltransferase activity [GO:0047150]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	GO:0008270; GO:0009086; GO:0032259; GO:0047150	RMX43806.1
A0A3M6TRB7	A0A3M6TRB7_POCDA	unreviewed	pdam_00017046	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	FeS_assembly_P domain-containing protein	115	chromosome segregation [GO:0007059]; protein maturation by [4Fe-4S] cluster transfer [GO:0106035]	GO:0007059; GO:0106035	RMX43808.1
A0A3M6UAG8	A0A3M6UAG8_POCDA	unreviewed	pdam_00025834	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	580			RMX50647.1
A0A3M6URN8	A0A3M6URN8_POCDA	unreviewed	pdam_00019256	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	441			RMX56321.1
A0A2B4STW4	A0A2B4STW4_STYPI	unreviewed	ZNF862 AWC38_SpisGene2592	Stylophora pistillata (Smooth cauliflower coral)	Zinc finger protein 862	1847			PFX32579.1
A0A3M6T8D0	A0A3M6T8D0_POCDA	unreviewed	pdam_00004308	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Octopine_DH domain-containing protein (Fragment)	409	oxidoreductase activity [GO:0016491]	GO:0016491	RMX37675.1
A0A2B4RL51	A0A2B4RL51_STYPI	unreviewed	Pkd1l2 AWC38_SpisGene18131	Stylophora pistillata (Smooth cauliflower coral)	Polycystic kidney disease protein 1-like 2	2118	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX17533.1
A0A3M6UUC4	A0A3M6UUC4_POCDA	unreviewed	pdam_00021149	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1934	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX56918.1
A0A3M6V399	A0A3M6V399_POCDA	unreviewed	pdam_00020576	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	515			RMX60392.1
A0A3M6TKG9	A0A3M6TKG9_POCDA	unreviewed	pdam_00019618	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	527	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270	RMX41859.1
A0A3M6USX5	A0A3M6USX5_POCDA	unreviewed	pdam_00009951	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	148			RMX56793.1
A0A3M6USZ2	A0A3M6USZ2_POCDA	unreviewed	pdam_00009952	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F-box domain-containing protein	250			RMX56796.1
A0A3M6UAM1	A0A3M6UAM1_POCDA	unreviewed	pdam_00024588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1978	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116	RMX50589.1
A0A2B4R7H4	A0A2B4R7H4_STYPI	unreviewed	AWC38_SpisGene23758	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	923			PFX12307.1
A0A3M6TER5	A0A3M6TER5_POCDA	unreviewed	pdam_00007163	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Kinase (EC 2.7.-.-)	320	kinase activity [GO:0016301]; inositol phosphate biosynthetic process [GO:0032958]	GO:0016301; GO:0032958	RMX39799.1
A0A2B4SCK3	A0A2B4SCK3_STYPI	unreviewed	Mccc2 AWC38_SpisGene8204	Stylophora pistillata (Smooth cauliflower coral)	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	902	ligase activity [GO:0016874]	GO:0016874	PFX27106.1
A0A3M6U016	A0A3M6U016_POCDA	unreviewed	pdam_00009588	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	600			RMX47013.1
A0A2B4SGX7	A0A2B4SGX7_STYPI	unreviewed	FOXJ3 AWC38_SpisGene5300	Stylophora pistillata (Smooth cauliflower coral)	Forkhead box protein J3	833	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565; GO:0046872	PFX29934.1
