Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240168N
A0A2B4SBG5	A0A2B4SBG5_STYPI	unreviewed	AWC38_SpisGene9441	Stylophora pistillata (Smooth cauliflower coral)	Integrase catalytic domain-containing protein	1461	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX25917.1
A0A3M6T919	A0A3M6T919_POCDA	unreviewed	pdam_00020039	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	356			RMX37829.1
A0A2B4RY06	A0A2B4RY06_STYPI	unreviewed	PTK7 AWC38_SpisGene14298	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1390	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX21217.1
A0A3M6UZZ0	A0A3M6UZZ0_POCDA	unreviewed	pdam_00023710	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	302			RMX58878.1
A0A2B4R9Q1	A0A2B4R9Q1_STYPI	unreviewed	AWC38_SpisGene21486	Stylophora pistillata (Smooth cauliflower coral)	Endo/exonuclease/phosphatase domain-containing protein	725			PFX14361.1
A0A2B4RR61	A0A2B4RR61_STYPI	unreviewed	AWC38_SpisGene15941	Stylophora pistillata (Smooth cauliflower coral)	DDE Tnp4 domain-containing protein	510	metal ion binding [GO:0046872]	GO:0046872	PFX19656.1
A0A2B4S1Z0	A0A2B4S1Z0_STYPI	unreviewed	AWC38_SpisGene12043	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	255			PFX23426.1
A0A3M6UTH2	A0A3M6UTH2_POCDA	unreviewed	pdam_00016974	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2748	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; scavenger receptor activity [GO:0005044]; serine-type peptidase activity [GO:0008236]	GO:0004930; GO:0005044; GO:0005886; GO:0008236; GO:0016021	RMX56976.1
A0A3M6UTS7	A0A3M6UTS7_POCDA	unreviewed	pdam_00016976	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1280			RMX56974.1
A0A2G2BKP2	A0A2G2BKP2_HALSX	unreviewed	COB32_11720	Halomonas sp.	Reverse transcriptase domain-containing protein	735			PHR00840.1
A0A2B4T277	A0A2B4T277_STYPI	unreviewed	AWC38_SpisGene331	Stylophora pistillata (Smooth cauliflower coral)	DDE_3 domain-containing protein	360			PFX34725.1
A0A3M6ULQ9	A0A3M6ULQ9_POCDA	unreviewed	pdam_00014104	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	521	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; oligopeptide transport [GO:0006857]	GO:0006857; GO:0016021; GO:0022857	RMX54606.1
A0A3M6UM44	A0A3M6UM44_POCDA	unreviewed	pdam_00014102	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1215	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; oligopeptide transport [GO:0006857]	GO:0006857; GO:0016021; GO:0022857	RMX54604.1
