Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442196
A0A3M6U246	A0A3M6U246_POCDA	unreviewed	pdam_00011796	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	126			RMX47765.1
A0A2B4SNN6	A0A2B4SNN6_STYPI	unreviewed	Cntnap1 AWC38_SpisGene2937	Stylophora pistillata (Smooth cauliflower coral)	Contactin-associated protein 1	1633	calcium ion binding [GO:0005509]; nucleic acid binding [GO:0003676]; protein localization to juxtaparanode region of axon [GO:0071205]	GO:0003676; GO:0005509; GO:0071205	PFX32294.1
A0A3M6U6T7	A0A3M6U6T7_POCDA	unreviewed	pdam_00014435	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TACC_C domain-containing protein	711	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; mitotic spindle organization [GO:0007052]	GO:0005737; GO:0005856; GO:0007052	RMX49337.1
A0A3M6U6M9	A0A3M6U6M9_POCDA	unreviewed	pdam_00014432	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	675	integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]	GO:0016021; GO:0016491	RMX49342.1
A0A3M6UXT9	A0A3M6UXT9_POCDA	unreviewed	pdam_00000110	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	787	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	GO:0007165; GO:0016021	RMX58344.1
A0A3M6UWV5	A0A3M6UWV5_POCDA	unreviewed	pdam_00000107	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	147			RMX58186.1
A0A432I4J1	A0A432I4J1_9GAMM	unreviewed	DSY43_05330	Gammaproteobacteria bacterium	Reverse transcriptase	1576	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0015074	RUA05110.1
A0A3M6UYE5	A0A3M6UYE5_POCDA	unreviewed	pdam_00000116	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	4171	integral component of membrane [GO:0016021]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016021	RMX58338.1
A0A3M6TIU8	A0A3M6TIU8_POCDA	unreviewed	pdam_00024043	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1401			RMX41198.1
A0A2B4SVE9	A0A2B4SVE9_STYPI	unreviewed	K02A2.6 AWC38_SpisGene2017	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	950	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX33159.1
