Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A352441782
A0A3M6UK76	A0A3M6UK76_POCDA	unreviewed	pdam_00013141	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1792	integral component of membrane [GO:0016021]; ligand-gated ion channel activity [GO:0015276]	GO:0015276; GO:0016021	RMX54060.1
A0A3M6UUR0	A0A3M6UUR0_POCDA	unreviewed	pdam_00016011	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein	544	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX57375.1
A0A2B4SP03	A0A2B4SP03_STYPI	unreviewed	POL AWC38_SpisGene4911	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein	523	nucleic acid binding [GO:0003676]	GO:0003676	PFX30308.1
A0A3M6UX53	A0A3M6UX53_POCDA	unreviewed	pdam_00006725	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	255			RMX57898.1
A0A3M6TYN4	A0A3M6TYN4_POCDA	unreviewed	pdam_00000540	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	598	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]	GO:0005509; GO:0030246	RMX46461.1
A0A3M6TCQ6	A0A3M6TCQ6_POCDA	unreviewed	pdam_00013526	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	2206	signal transduction [GO:0007165]	GO:0007165	RMX39186.1
A0A3M6TCU7	A0A3M6TCU7_POCDA	unreviewed	pdam_00013522	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	F5/8 type C domain-containing protein	376	integral component of membrane [GO:0016021]	GO:0016021	RMX39190.1
A0A2B4R3P4	A0A2B4R3P4_STYPI	unreviewed	AWC38_SpisGene25360	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	544	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	PFX11130.1
A0A2B4R5Q0	A0A2B4R5Q0_STYPI	unreviewed	F54H12.3 AWC38_SpisGene22223	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F54H12.3	266	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX13674.1
A0A3M6TDI9	A0A3M6TDI9_POCDA	unreviewed	pdam_00015585	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1645	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX39475.1
