Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110206320BA52A5CE8FCD097CB85A53697A35244169G
A0A3M6TXF5	A0A3M6TXF5_POCDA	unreviewed	pdam_00002011	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Alanine--glyoxylate aminotransferase (EC 2.6.1.44) (Fragment)	433	alanine-glyoxylate transaminase activity [GO:0008453]; serine-pyruvate transaminase activity [GO:0004760]	GO:0004760; GO:0008453	RMX46046.1
A0A3M6TX80	A0A3M6TX80_POCDA	unreviewed	pdam_00002005	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	1138	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX46015.1
A0A3M6TX91	A0A3M6TX91_POCDA	unreviewed	pdam_00002003	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	313			RMX46017.1
A0A2B4SIJ5	A0A2B4SIJ5_STYPI	unreviewed	Trpa1 AWC38_SpisGene6547	Stylophora pistillata (Smooth cauliflower coral)	Transient receptor potential cation channel subfamily A member 1	1111	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	PFX28700.1
A0A3M6TXI0	A0A3M6TXI0_POCDA	unreviewed	pdam_00001995	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MATH domain-containing protein (Fragment)	550	zinc ion binding [GO:0008270]	GO:0008270	RMX46066.1
A0A2B4SHJ6	A0A2B4SHJ6_STYPI	unreviewed	pol AWC38_SpisGene6734	Stylophora pistillata (Smooth cauliflower coral)	Retrovirus-related Pol polyprotein from transposon 17.6	838	nucleic acid binding [GO:0003676]	GO:0003676	PFX28543.1
A0A3M6TZ64	A0A3M6TZ64_POCDA	unreviewed	pdam_00020922	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	107			RMX46548.1
A0A2B4RGZ2	A0A2B4RGZ2_STYPI	unreviewed	UBP12 AWC38_SpisGene19675	Stylophora pistillata (Smooth cauliflower coral)	Ubiquitin carboxyl-terminal hydrolase 12	1363	metal ion binding [GO:0046872]; thiol-dependent deubiquitinase [GO:0004843]; transferase activity [GO:0016740]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0004843; GO:0006511; GO:0016579; GO:0016740; GO:0046872	PFX16079.1
A0A6J8EGE4	A0A6J8EGE4_MYTCO	unreviewed	MCOR_51694	Mytilus coruscus (Sea mussel)	TRAF4	724	cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; zinc ion binding [GO:0008270]; microtubule-based process [GO:0007017]	GO:0005737; GO:0005874; GO:0007017; GO:0008270; GO:0030286	CAC5419337.1
A0A3M6UEH2	A0A3M6UEH2_POCDA	unreviewed	pdam_00003688	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	965			RMX52015.1
A0A3M6UE96	A0A3M6UE96_POCDA	unreviewed	pdam_00003686	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	357	mitochondrial matrix [GO:0005759]	GO:0005759	RMX52013.1
