Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110204ABAA9BC7178C81CEBC9459510EDDEA32434BCN
A0A2B4R4S6	A0A2B4R4S6_STYPI	unreviewed	AWC38_SpisGene23933	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	812			PFX12156.1
A0A2B4SL64	A0A2B4SL64_STYPI	unreviewed	AWC38_SpisGene25840	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	150	integral component of membrane [GO:0016021]	GO:0016021	PFX29267.1
A0A3M6UF37	A0A3M6UF37_POCDA	unreviewed	pdam_00019211	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MYND-type domain-containing protein	1021			RMX52206.1
A0A3M6TXK0	A0A3M6TXK0_POCDA	unreviewed	pdam_00020840	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	154			RMX46127.1
A0A2B4ST63	A0A2B4ST63_STYPI	unreviewed	AWC38_SpisGene3577	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	240			PFX31677.1
A0A2B4RDT1	A0A2B4RDT1_STYPI	unreviewed	AWC38_SpisGene25808	Stylophora pistillata (Smooth cauliflower coral)	CTCK domain-containing protein	126	extracellular region [GO:0005576]	GO:0005576	PFX14983.1
A0A2B4S9V1	A0A2B4S9V1_STYPI	unreviewed	AWC38_SpisGene10036	Stylophora pistillata (Smooth cauliflower coral)	CBM2 domain-containing protein	294	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; polysaccharide binding [GO:0030247]; carbohydrate metabolic process [GO:0005975]	GO:0004553; GO:0005975; GO:0030247	PFX25348.1
A0A2B4SK90	A0A2B4SK90_STYPI	unreviewed	AWC38_SpisGene6324	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1030	integral component of membrane [GO:0016021]	GO:0016021	PFX28947.1
A0A3M6UME3	A0A3M6UME3_POCDA	unreviewed	pdam_00014138	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	226			RMX54802.1
A0A3M6TI22	A0A3M6TI22_POCDA	unreviewed	pdam_00014860	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	214			RMX40971.1
A0A3M6TTX6	A0A3M6TTX6_POCDA	unreviewed	pdam_00012754	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	687			RMX44684.1
A0A3M6TD22	A0A3M6TD22_POCDA	unreviewed	pdam_00017877	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	131			RMX39317.1
A0A3M6TDA7	A0A3M6TDA7_POCDA	unreviewed	pdam_00017875	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	139			RMX39321.1
A0A3M6UTL9	A0A3M6UTL9_POCDA	unreviewed	pdam_00016141	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	140			RMX56990.1
A0A2B4SI29	A0A2B4SI29_STYPI	unreviewed	QRFPR AWC38_SpisGene5712	Stylophora pistillata (Smooth cauliflower coral)	Pyroglutamylated RFamide peptide receptor	326	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	PFX29531.1
A0A3M6UM20	A0A3M6UM20_POCDA	unreviewed	pdam_00009304	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	364			RMX54649.1
