Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441B97
A0A3M6USG5	A0A3M6USG5_POCDA	unreviewed	pdam_00007196	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	397	extracellular region [GO:0005576]	GO:0005576	RMX56514.1
A0A3M6U9H6	A0A3M6U9H6_POCDA	unreviewed	pdam_00006916	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	5234	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; scavenger receptor activity [GO:0005044]; cell adhesion [GO:0007155]	GO:0005044; GO:0005509; GO:0007155; GO:0016021; GO:0030246	RMX50310.1
A0A3M6UUM9	A0A3M6UUM9_POCDA	unreviewed	pdam_00023481	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1489	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX57396.1
A0A3M6T4B6	A0A3M6T4B6_POCDA	unreviewed	pdam_00003847	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	293			RMX35489.1
A0A3M6T4L2	A0A3M6T4L2_POCDA	unreviewed	pdam_00003849	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	359	calcium ion binding [GO:0005509]	GO:0005509	RMX35481.1
A0A3M6T4T6	A0A3M6T4T6_POCDA	unreviewed	pdam_00003850	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	678	calcium ion binding [GO:0005509]	GO:0005509	RMX35551.1
A0A3M6UD87	A0A3M6UD87_POCDA	unreviewed	pdam_00018811	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	753	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	RMX51474.1
A0A2B4RAS4	A0A2B4RAS4_STYPI	unreviewed	AWC38_SpisGene20332	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	551	extracellular matrix structural constituent [GO:0005201]	GO:0005201	PFX15444.1
A0A2B4R6Y4	A0A2B4R6Y4_STYPI	unreviewed	KEAP1 AWC38_SpisGene23964	Stylophora pistillata (Smooth cauliflower coral)	Kelch-like ECH-associated protein 1	209	Cul3-RING ubiquitin ligase complex [GO:0031463]; transcription factor binding [GO:0008134]; protein ubiquitination [GO:0016567]	GO:0008134; GO:0016567; GO:0031463	PFX12127.1
A0A2B4SCC4	A0A2B4SCC4_STYPI	unreviewed	K02A2.6 AWC38_SpisGene9235	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein K02A2.6	914	calcium ion binding [GO:0005509]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0005509; GO:0015074	PFX26095.1
A0A3M6THG6	A0A3M6THG6_POCDA	unreviewed	pdam_00015939	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	278			RMX40739.1
A0A3M6V5B9	A0A3M6V5B9_POCDA	unreviewed	pdam_00010560	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	138	integral component of membrane [GO:0016021]	GO:0016021	RMX61122.1
A0A3M6V5A4	A0A3M6V5A4_POCDA	unreviewed	pdam_00010553	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1212			RMX61102.1
A0A2B4R941	A0A2B4R941_STYPI	unreviewed	pats1 AWC38_SpisGene20950	Stylophora pistillata (Smooth cauliflower coral)	Putative serine/threonine-protein kinase pats1	964	integral component of membrane [GO:0016021]; kinase activity [GO:0016301]; nucleotide binding [GO:0000166]	GO:0000166; GO:0016021; GO:0016301	PFX14864.1
A0A3M6V5C2	A0A3M6V5C2_POCDA	unreviewed	pdam_00010543	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	291			RMX61091.1
A0A3M6V5D6	A0A3M6V5D6_POCDA	unreviewed	pdam_00010541	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Hydroxymethylglutaryl-CoA reductase (NADPH) (EC 1.1.1.34)	484	hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; coenzyme A metabolic process [GO:0015936]	GO:0004420; GO:0015936	RMX61089.1
A0A3M6V588	A0A3M6V588_POCDA	unreviewed	pdam_00010533	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	165			RMX61116.1
A0A3M6V5E3	A0A3M6V5E3_POCDA	unreviewed	pdam_00010527	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	97			RMX61099.1
A0A2B4SBN5	A0A2B4SBN5_STYPI	unreviewed	AWC38_SpisGene8569	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	920			PFX26776.1
A0A3M6V096	A0A3M6V096_POCDA	unreviewed	pdam_00016364	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	SCD domain-containing protein	1413			RMX59366.1
A0A3M6V0L9	A0A3M6V0L9_POCDA	unreviewed	pdam_00024838	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein	1614	integral component of membrane [GO:0016021]	GO:0016021	RMX59491.1
A0A3M6UAG8	A0A3M6UAG8_POCDA	unreviewed	pdam_00025834	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	580			RMX50647.1
A0A3M6U3V2	A0A3M6U3V2_POCDA	unreviewed	pdam_00014744	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	375			RMX48281.1
A0A2B4SF67	A0A2B4SF67_STYPI	unreviewed	AWC38_SpisGene8241	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	489			PFX27085.1
A0A3M6UQP5	A0A3M6UQP5_POCDA	unreviewed	pdam_00021722	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein kinase domain-containing protein	1385	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524	RMX55972.1
A0A3M6V1Q4	A0A3M6V1Q4_POCDA	unreviewed	pdam_00023484	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	321			RMX59871.1
A0A2B4SE61	A0A2B4SE61_STYPI	unreviewed	OPA1 AWC38_SpisGene8586	Stylophora pistillata (Smooth cauliflower coral)	Dynamin-like 120 kDa protein, form S1 (EC 3.6.5.5) (Dynamin-like 120 kDa protein, mitochondrial)	914	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; lipid binding [GO:0008289]; apoptotic process [GO:0006915]; mitochondrion organization [GO:0007005]	GO:0003924; GO:0005525; GO:0005743; GO:0006915; GO:0007005; GO:0008289; GO:0016021	PFX26725.1
A0A3M6UT89	A0A3M6UT89_POCDA	unreviewed	pdam_00022713	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	261			RMX56892.1
A0A3M6TDM6	A0A3M6TDM6_POCDA	unreviewed	pdam_00006093	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	203			RMX39537.1
A0A2B4RMV5	A0A2B4RMV5_STYPI	unreviewed	AWC38_SpisGene15792	Stylophora pistillata (Smooth cauliflower coral)	Tachylectin-2	898	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	PFX19764.1
