Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302441883
A0A3M6V4U0	A0A3M6V4U0_POCDA	unreviewed	pdam_00017403	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	767	integral component of membrane [GO:0016021]	GO:0016021	RMX60962.1
A0A3M6V513	A0A3M6V513_POCDA	unreviewed	pdam_00017406	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3489	calcium ion binding [GO:0005509]	GO:0005509	RMX60959.1
A0A3M6V4Z7	A0A3M6V4Z7_POCDA	unreviewed	pdam_00017409	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1182	GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]	GO:0005096; GO:0007165; GO:0043547	RMX60965.1
A0A3M6V4Y9	A0A3M6V4Y9_POCDA	unreviewed	pdam_00017412	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1243			RMX60955.1
A0A3M6V0X4	A0A3M6V0X4_POCDA	unreviewed	pdam_00003651	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	675	integral component of membrane [GO:0016021]; intein-mediated protein splicing [GO:0016539]	GO:0016021; GO:0016539	RMX59542.1
A0A3M6V0T0	A0A3M6V0T0_POCDA	unreviewed	pdam_00003650	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	C2 domain-containing protein	791	cilium [GO:0005929]	GO:0005929	RMX59541.1
A0A3M6V104	A0A3M6V104_POCDA	unreviewed	pdam_00003646	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	787	calcium ion binding [GO:0005509]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0005509; GO:0016705; GO:0031418; GO:0051213	RMX59577.1
A0A3M6V183	A0A3M6V183_POCDA	unreviewed	pdam_00003644	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	470			RMX59579.1
A0A3M6V114	A0A3M6V114_POCDA	unreviewed	pdam_00003643	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	798	dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0016705; GO:0031418; GO:0051213	RMX59580.1
A0A3M6V113	A0A3M6V113_POCDA	unreviewed	pdam_00003641	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	827	extracellular region [GO:0005576]; nematocyst [GO:0042151]; calcium ion binding [GO:0005509]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; toxin activity [GO:0090729]	GO:0005506; GO:0005509; GO:0005576; GO:0016705; GO:0031418; GO:0042151; GO:0051213; GO:0090729	RMX59582.1
A0A3M6V0W9	A0A3M6V0W9_POCDA	unreviewed	pdam_00003640	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	447	calcium ion binding [GO:0005509]; dioxygenase activity [GO:0051213]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0005506; GO:0005509; GO:0016705; GO:0031418; GO:0051213	RMX59583.1
A0A2B4SSI3	A0A2B4SSI3_STYPI	unreviewed	AWC38_SpisGene3807	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	554	integral component of membrane [GO:0016021]	GO:0016021	PFX31427.1
A0A3M6V0Z0	A0A3M6V0Z0_POCDA	unreviewed	pdam_00003622	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2149			RMX59603.1
A0A3M6V0Y3	A0A3M6V0Y3_POCDA	unreviewed	pdam_00003615	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metalloendopeptidase (EC 3.4.24.-)	885	extracellular region [GO:0005576]; nematocyst [GO:0042151]; metalloendopeptidase activity [GO:0004222]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]	GO:0004222; GO:0005576; GO:0008270; GO:0042151; GO:0090729	RMX59585.1
A0A3M6V0X0	A0A3M6V0X0_POCDA	unreviewed	pdam_00003608	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1092			RMX59530.1
A0A3M6V1V4	A0A3M6V1V4_POCDA	unreviewed	pdam_00003604	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	101	integral component of membrane [GO:0016021]	GO:0016021	RMX59538.1
A0A2B4RGE4	A0A2B4RGE4_STYPI	unreviewed	RTase AWC38_SpisGene20336	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon BS	1128	extracellular matrix structural constituent [GO:0005201]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0005201	PFX15448.1
A0A2B4RIF0	A0A2B4RIF0_STYPI	unreviewed	Fbn2 AWC38_SpisGene19598	Stylophora pistillata (Smooth cauliflower coral)	Fibrillin-2 (Fragment)	3483	calcium ion binding [GO:0005509]	GO:0005509	PFX16148.1
A0A2B4RNS3	A0A2B4RNS3_STYPI	unreviewed	MFGE8 AWC38_SpisGene17176	Stylophora pistillata (Smooth cauliflower coral)	Lactadherin	3253	integral component of membrane [GO:0016021]	GO:0016021	PFX18453.1
A0A2B4T1A0	A0A2B4T1A0_STYPI	unreviewed	AWC38_SpisGene58	Stylophora pistillata (Smooth cauliflower coral)	C2H2-type domain-containing protein	771			PFX34920.1
A0A3M6THD9	A0A3M6THD9_POCDA	unreviewed	pdam_00021466	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	138			RMX40709.1
A0A2B4R2Z9	A0A2B4R2Z9_STYPI	unreviewed	AWC38_SpisGene24702	Stylophora pistillata (Smooth cauliflower coral)	Putative WD repeat-containing protein alr2800	1877			PFX11526.1
A0A3M6T7C8	A0A3M6T7C8_POCDA	unreviewed	pdam_00008949	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Arf-GAP domain-containing protein (Fragment)	518	GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]	GO:0005096; GO:0043547	RMX37325.1
A0A3M6UUR2	A0A3M6UUR2_POCDA	unreviewed	pdam_00016016	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Metallophos domain-containing protein	596	integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]	GO:0016021; GO:0016787	RMX57380.1
A0A3M6UVM9	A0A3M6UVM9_POCDA	unreviewed	pdam_00016014	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein	432	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX57378.1
A0A3M6UUU6	A0A3M6UUU6_POCDA	unreviewed	pdam_00016013	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	526	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX57377.1
A0A3M6TMM3	A0A3M6TMM3_POCDA	unreviewed	pdam_00010284	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Nicalin	558	integral component of membrane [GO:0016021]; metalloexopeptidase activity [GO:0008235]; regulation of signal transduction [GO:0009966]	GO:0008235; GO:0009966; GO:0016021	RMX42637.1
A0A3M6TYF4	A0A3M6TYF4_POCDA	unreviewed	pdam_00000548	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1885	calcium ion binding [GO:0005509]	GO:0005509	RMX46455.1
A0A3M6TYU5	A0A3M6TYU5_POCDA	unreviewed	pdam_00000549	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein	353			RMX46454.1
A0A3M6TY82	A0A3M6TY82_POCDA	unreviewed	pdam_00000554	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Anti_prolifrtn domain-containing protein	315			RMX46383.1
A0A3M6TYC6	A0A3M6TYC6_POCDA	unreviewed	pdam_00000559	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	1050	integral component of membrane [GO:0016021]; ion channel activity [GO:0005216]	GO:0005216; GO:0016021	RMX46380.1
A0A3M6TYE4	A0A3M6TYE4_POCDA	unreviewed	pdam_00000560	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1244	calcium ion binding [GO:0005509]	GO:0005509	RMX46308.1
A0A3M6TYF2	A0A3M6TYF2_POCDA	unreviewed	pdam_00000567	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	340	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX46309.1
A0A3M6TYD0	A0A3M6TYD0_POCDA	unreviewed	pdam_00000568	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Phosphomannomutase (EC 5.4.2.8)	322	cytoplasm [GO:0005737]; phosphomannomutase activity [GO:0004615]; GDP-mannose biosynthetic process [GO:0009298]	GO:0004615; GO:0005737; GO:0009298	RMX46304.1
A0A3M6TXZ1	A0A3M6TXZ1_POCDA	unreviewed	pdam_00000569	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Alpha-L-fucosidase (EC 3.2.1.51)	596	alpha-L-fucosidase activity [GO:0004560]; fucose metabolic process [GO:0006004]	GO:0004560; GO:0006004	RMX46303.1
A0A3M6TYD8	A0A3M6TYD8_POCDA	unreviewed	pdam_00000571	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	999			RMX46435.1
A0A2B4SKE0	A0A2B4SKE0_STYPI	unreviewed	AWC38_SpisGene5681	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	901			PFX29553.1
A0A3M6TYU4	A0A3M6TYU4_POCDA	unreviewed	pdam_00000578	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	BPTI/Kunitz inhibitor domain-containing protein (Fragment)	133	integral component of membrane [GO:0016021]; nematocyst [GO:0042151]; serine-type endopeptidase inhibitor activity [GO:0004867]	GO:0004867; GO:0016021; GO:0042151	RMX46438.1
A0A3M6TYM5	A0A3M6TYM5_POCDA	unreviewed	pdam_00000581	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Septin	408	GTP binding [GO:0005525]	GO:0005525	RMX46451.1
A0A3M6TEI4	A0A3M6TEI4_POCDA	unreviewed	pdam_00007115	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	EGF-like domain-containing protein	389			RMX39806.1
A0A2B4S890	A0A2B4S890_STYPI	unreviewed	AWC38_SpisGene10722	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	666			PFX24675.1
A0A3M6UIT8	A0A3M6UIT8_POCDA	unreviewed	pdam_00000250	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	771			RMX53613.1
A0A2B4RW84	A0A2B4RW84_STYPI	unreviewed	AWC38_SpisGene15029	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	359			PFX20505.1
A0A3M6UIZ7	A0A3M6UIZ7_POCDA	unreviewed	pdam_00000255	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1234			RMX53616.1
A0A3M6UIX5	A0A3M6UIX5_POCDA	unreviewed	pdam_00000259	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Peroxin-13 (Fragment)	445	integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]; protein import into peroxisome matrix, docking [GO:0016560]	GO:0005778; GO:0016021; GO:0016560	RMX53620.1
A0A3M6UJK8	A0A3M6UJK8_POCDA	unreviewed	pdam_00000262	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Complex I-15 kDa (NADH dehydrogenase [ubiquinone] iron-sulfur protein 5) (NADH-ubiquinone oxidoreductase 15 kDa subunit)	79	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	GO:0005743; GO:0070469	RMX53822.1
A0A3M6UJ91	A0A3M6UJ91_POCDA	unreviewed	pdam_00000278	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	ANK_REP_REGION domain-containing protein	392			RMX53763.1
A0A3M6UIU4	A0A3M6UIU4_POCDA	unreviewed	pdam_00000283	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Aminopeptidase (EC 3.4.11.-)	836	aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]	GO:0004177; GO:0008237; GO:0008270	RMX53623.1
A0A3M6UJS8	A0A3M6UJS8_POCDA	unreviewed	pdam_00000286	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1764	integral component of membrane [GO:0016021]	GO:0016021	RMX53638.1
A0A3M6UJ52	A0A3M6UJ52_POCDA	unreviewed	pdam_00000290	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	243	integral component of membrane [GO:0016021]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	GO:0005750; GO:0006122; GO:0016021	RMX53666.1
A0A2B4SQJ3	A0A2B4SQJ3_STYPI	unreviewed	TMEM246 AWC38_SpisGene4090	Stylophora pistillata (Smooth cauliflower coral)	Transmembrane protein 246	715	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]; GPI anchor biosynthetic process [GO:0006506]	GO:0000139; GO:0006506; GO:0016021; GO:0016757	PFX31150.1
A0A3M6UJ96	A0A3M6UJ96_POCDA	unreviewed	pdam_00000296	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Vacuolar protein sorting-associated protein 29 (Vesicle protein sorting 29)	204	cytosol [GO:0005829]; endosome membrane [GO:0010008]; retromer complex [GO:0030904]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]	GO:0005829; GO:0010008; GO:0015031; GO:0030904; GO:0042147	RMX53716.1
A0A3M6UJI3	A0A3M6UJI3_POCDA	unreviewed	pdam_00000306	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	579	nuclear chromosome [GO:0000228]; chromatin remodeling [GO:0006338]	GO:0000228; GO:0006338	RMX53802.1
A0A3M6UJA1	A0A3M6UJA1_POCDA	unreviewed	pdam_00000311	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	961	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX53732.1
A0A3M6UJ61	A0A3M6UJ61_POCDA	unreviewed	pdam_00000340	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1591	actin binding [GO:0003779]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; negative regulation of actin filament polymerization [GO:0030837]	GO:0003779; GO:0004725; GO:0008138; GO:0030837; GO:0106306; GO:0106307	RMX53692.1
A0A3M6UJ51	A0A3M6UJ51_POCDA	unreviewed	pdam_00000341	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1824	integral component of membrane [GO:0016021]	GO:0016021	RMX53691.1
A0A3M6UJ27	A0A3M6UJ27_POCDA	unreviewed	pdam_00000362	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Histone acetyltransferase (EC 2.3.1.48)	459	MSL complex [GO:0072487]; histone acetyltransferase activity [GO:0004402]; regulation of transcription, DNA-templated [GO:0006355]	GO:0004402; GO:0006355; GO:0072487	RMX53652.1
A0A2B4RV17	A0A2B4RV17_STYPI	unreviewed	slc16a10 AWC38_SpisGene14871	Stylophora pistillata (Smooth cauliflower coral)	Monocarboxylate transporter 10	1559	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	PFX20669.1
A0A3M6UJI7	A0A3M6UJI7_POCDA	unreviewed	pdam_00000372	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	198	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	RMX53795.1
A0A3M6UJT9	A0A3M6UJT9_POCDA	unreviewed	pdam_00000388	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	406	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX53829.1
A0A3M6UJA3	A0A3M6UJA3_POCDA	unreviewed	pdam_00000409	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein-serine/threonine kinase (EC 2.7.11.-) (Fragment)	414	mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0005759	RMX53773.1
A0A3M6UDB9	A0A3M6UDB9_POCDA	unreviewed	pdam_00008133	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TIR domain-containing protein (Fragment)	305	signal transduction [GO:0007165]	GO:0007165	RMX51673.1
A0A3M6UDD0	A0A3M6UDD0_POCDA	unreviewed	pdam_00008131	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	680			RMX51671.1
A0A3M6UDE3	A0A3M6UDE3_POCDA	unreviewed	pdam_00008129	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	600	integral component of membrane [GO:0016021]	GO:0016021	RMX51681.1
A0A1Y1WVJ1	A0A1Y1WVJ1_9FUNG	unreviewed	K493DRAFT_321353	Basidiobolus meristosporus CBS 931.73	Uncharacterized protein	65			ORX77581.1
A0A2B4RMT8	A0A2B4RMT8_STYPI	unreviewed	Btbd6 AWC38_SpisGene17830	Stylophora pistillata (Smooth cauliflower coral)	BTB/POZ domain-containing protein 6	943	cytoplasm [GO:0005737]	GO:0005737	PFX17830.1
A0A3M6TQ49	A0A3M6TQ49_POCDA	unreviewed	pdam_00001935	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	286			RMX43451.1
A0A3M6V8H5	A0A3M6V8H5_POCDA	unreviewed	pdam_00023465	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1289	calcium ion binding [GO:0005509]	GO:0005509	RMX61338.1
A0A3M6TGS2	A0A3M6TGS2_POCDA	unreviewed	pdam_00022723	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2203	catalytic activity [GO:0003824]; signal transduction [GO:0007165]	GO:0003824; GO:0007165	RMX40602.1
A0A3M6U8D5	A0A3M6U8D5_POCDA	unreviewed	pdam_00009161	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Death domain-containing protein	491	signal transduction [GO:0007165]	GO:0007165	RMX49809.1
A0A3M6U8E3	A0A3M6U8E3_POCDA	unreviewed	pdam_00009159	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	UBC core domain-containing protein	153	ATP binding [GO:0005524]; transferase activity [GO:0016740]	GO:0005524; GO:0016740	RMX49819.1
A0A3M6U858	A0A3M6U858_POCDA	unreviewed	pdam_00009153	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	385	extracellular region [GO:0005576]	GO:0005576	RMX49817.1
A0A3M6U7Z6	A0A3M6U7Z6_POCDA	unreviewed	pdam_00009144	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1219	extracellular region [GO:0005576]	GO:0005576	RMX49790.1
A0A2B4SJR7	A0A2B4SJR7_STYPI	unreviewed	AWC38_SpisGene5921	Stylophora pistillata (Smooth cauliflower coral)	LRAT domain-containing protein	450	integral component of membrane [GO:0016021]	GO:0016021	PFX29333.1
A0A2B4SFG0	A0A2B4SFG0_STYPI	unreviewed	pol AWC38_SpisGene6682	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	384	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX28601.1
